Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Ba-99,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Ba-99,text,0,0,conductor,,,,,,,,,,,,,,,By Dino Dervishalidovic,,,,,
Ba-99,text,0,0,conductor,,,,,,,,,,,,,,,Generated by NoteWorthy Composer,,,,,
Ba-99,set_tempo,0,0,conductor,,,,,,,,,,,,,789473.0,,,,,,,
Ba-99,set_tempo,0,0,conductor,,,,,,,,,,,,,789473.0,,,,,,,
Ba-99,set_tempo,0,0,conductor,,,,,,,,,,,,,789473.0,,,,,,,
Ba-99,key_signature,0,0,conductor,,,,,Gb,,,,,,,,,,,,,,,
Ba-99,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Ba-99,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Ba-99,midi_port,0,1,Vocal,,,,,,,0.0,,,,,,,,,,,,,
Ba-99,track_name,0,1,Vocal,,,,,,,,,,,,,,,,,,,,
Ba-99,program_change,0,1,Vocal,2.0,,,,,,,,,,52.0,,,,,,,,,
Ba-99,control_change,0,1,Vocal,,7.0,127.0,,,,,,,,,,,,,,,,,
Ba-99,control_change,0,1,Vocal,,10.0,64.0,,,,,,,,,,,,,,,,,
Ba-99,note_on,0,1,Vocal,2.0,,,,,,,66.0,92.0,,,,,,,,,,,
Ba-99,note_on,256,1,Vocal,2.0,,,,,,,66.0,0.0,,,,,,,,,,,
Ba-99,note_on,32,1,Vocal,2.0,,,,,,,61.0,92.0,,,,,,,,,,,
Ba-99,note_on,94,1,Vocal,2.0,,,,,,,61.0,0.0,,,,,,,,,,,
Ba-99,note_on,2,1,Vocal,2.0,,,,,,,66.0,92.0,,,,,,,,,,,
Ba-99,note_on,160,1,Vocal,2.0,,,,,,,66.0,0.0,,,,,,,,,,,
Ba-99,note_on,32,1,Vocal,2.0,,,,,,,68.0,92.0,,,,,,,,,,,
Ba-99,note_on,160,1,Vocal,2.0,,,,,,,68.0,0.0,,,,,,,,,,,
Ba-99,note_on,32,1,Vocal,2.0,,,,,,,70.0,92.0,,,,,,,,,,,
Ba-99,note_on,288,1,Vocal,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Ba-99,note_on,0,1,Vocal,2.0,,,,,,,71.0,92.0,,,,,,,,,,,
Ba-99,note_on,94,1,Vocal,2.0,,,,,,,71.0,0.0,,,,,,,,,,,
Ba-99,note_on,2,1,Vocal,2.0,,,,,,,73.0,92.0,,,,,,,,,,,
Ba-99,note_on,256,1,Vocal,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Ba-99,note_on,32,1,Vocal,2.0,,,,,,,73.0,92.0,,,,,,,,,,,
Ba-99,note_on,94,1,Vocal,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Ba-99,note_on,2,1,Vocal,2.0,,,,,,,73.0,92.0,,,,,,,,,,,
Ba-99,note_on,160,1,Vocal,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Ba-99,note_on,32,1,Vocal,2.0,,,,,,,71.0,92.0,,,,,,,,,,,
Ba-99,note_on,96,1,Vocal,2.0,,,,,,,71.0,0.0,,,,,,,,,,,
Ba-99,note_on,0,1,Vocal,2.0,,,,,,,70.0,92.0,,,,,,,,,,,
Ba-99,note_on,94,1,Vocal,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Ba-99,note_on,2,1,Vocal,2.0,,,,,,,68.0,92.0,,,,,,,,,,,
Ba-99,note_on,96,1,Vocal,2.0,,,,,,,68.0,0.0,,,,,,,,,,,
Ba-99,note_on,0,1,Vocal,2.0,,,,,,,70.0,92.0,,,,,,,,,,,
Ba-99,note_on,94,1,Vocal,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Ba-99,note_on,2,1,Vocal,2.0,,,,,,,71.0,92.0,,,,,,,,,,,
Ba-99,note_on,96,1,Vocal,2.0,,,,,,,71.0,0.0,,,,,,,,,,,
Ba-99,note_on,0,1,Vocal,2.0,,,,,,,73.0,92.0,,,,,,,,,,,
