Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Bangladesh,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Bangladesh,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[29.97, 0, 0, 0, 0, 0]",,,,,,
Bangladesh,set_tempo,0,0,conductor,,,,,,,,,,,,,893056.0,,,,,,,
Bangladesh,time_signature,0,0,conductor,,,,,,,,,,,,,,,,3.0,8.0,12.0,8.0,
Bangladesh,set_tempo,539,0,conductor,,,,,,,,,,,,,898069.0,,,,,,,
Bangladesh,set_tempo,205,0,conductor,,,,,,,,,,,,,895522.0,,,,,,,
Bangladesh,set_tempo,44,0,conductor,,,,,,,,,,,,,893056.0,,,,,,,
Bangladesh,set_tempo,27,0,conductor,,,,,,,,,,,,,890538.0,,,,,,,
Bangladesh,set_tempo,188,0,conductor,,,,,,,,,,,,,888099.0,,,,,,,
Bangladesh,set_tempo,36,0,conductor,,,,,,,,,,,,,885608.0,,,,,,,
Bangladesh,set_tempo,658,0,conductor,,,,,,,,,,,,,883197.0,,,,,,,
Bangladesh,set_tempo,939,0,conductor,,,,,,,,,,,,,880733.0,,,,,,,
Bangladesh,set_tempo,227,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,781,0,conductor,,,,,,,,,,,,,875912.0,,,,,,,
Bangladesh,set_tempo,391,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,354,0,conductor,,,,,,,,,,,,,880733.0,,,,,,,
Bangladesh,set_tempo,426,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,200,0,conductor,,,,,,,,,,,,,875912.0,,,,,,,
Bangladesh,set_tempo,865,0,conductor,,,,,,,,,,,,,873553.0,,,,,,,
Bangladesh,set_tempo,1233,0,conductor,,,,,,,,,,,,,871143.0,,,,,,,
Bangladesh,set_tempo,1612,0,conductor,,,,,,,,,,,,,873553.0,,,,,,,
Bangladesh,set_tempo,356,0,conductor,,,,,,,,,,,,,875912.0,,,,,,,
Bangladesh,set_tempo,437,0,conductor,,,,,,,,,,,,,873553.0,,,,,,,
Bangladesh,set_tempo,667,0,conductor,,,,,,,,,,,,,871143.0,,,,,,,
Bangladesh,set_tempo,458,0,conductor,,,,,,,,,,,,,873553.0,,,,,,,
Bangladesh,set_tempo,127,0,conductor,,,,,,,,,,,,,875912.0,,,,,,,
Bangladesh,set_tempo,73,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,109,0,conductor,,,,,,,,,,,,,880733.0,,,,,,,
Bangladesh,set_tempo,82,0,conductor,,,,,,,,,,,,,883197.0,,,,,,,
Bangladesh,set_tempo,388,0,conductor,,,,,,,,,,,,,885608.0,,,,,,,
Bangladesh,set_tempo,892,0,conductor,,,,,,,,,,,,,888099.0,,,,,,,
Bangladesh,set_tempo,99,0,conductor,,,,,,,,,,,,,885608.0,,,,,,,
Bangladesh,set_tempo,36,0,conductor,,,,,,,,,,,,,883197.0,,,,,,,
Bangladesh,set_tempo,162,0,conductor,,,,,,,,,,,,,880733.0,,,,,,,
Bangladesh,set_tempo,481,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,90,0,conductor,,,,,,,,,,,,,880733.0,,,,,,,
Bangladesh,set_tempo,82,0,conductor,,,,,,,,,,,,,883197.0,,,,,,,
Bangladesh,set_tempo,190,0,conductor,,,,,,,,,,,,,885608.0,,,,,,,
Bangladesh,set_tempo,261,0,conductor,,,,,,,,,,,,,888099.0,,,,,,,
Bangladesh,set_tempo,206,0,conductor,,,,,,,,,,,,,885608.0,,,,,,,
Bangladesh,set_tempo,36,0,conductor,,,,,,,,,,,,,883197.0,,,,,,,
Bangladesh,set_tempo,100,0,conductor,,,,,,,,,,,,,880733.0,,,,,,,
Bangladesh,set_tempo,308,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,536,0,conductor,,,,,,,,,,,,,880733.0,,,,,,,
Bangladesh,set_tempo,371,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,236,0,conductor,,,,,,,,,,,,,875912.0,,,,,,,
Bangladesh,set_tempo,164,0,conductor,,,,,,,,,,,,,873553.0,,,,,,,
Bangladesh,set_tempo,959,0,conductor,,,,,,,,,,,,,875912.0,,,,,,,
Bangladesh,set_tempo,391,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,409,0,conductor,,,,,,,,,,,,,880733.0,,,,,,,
Bangladesh,set_tempo,1522,0,conductor,,,,,,,,,,,,,878348.0,,,,,,,
Bangladesh,set_tempo,163,0,conductor,,,,,,,,,,,,,875912.0,,,,,,,
Bangladesh,set_tempo,274,0,conductor,,,,,,,,,,,,,873553.0,,,,,,,
Bangladesh,set_tempo,648,0,conductor,,,,,,,,,,,,,871143.0,,,,,,,
Bangladesh,set_tempo,1181,0,conductor,,,,,,,,,,,,,868809.0,,,,,,,
Bangladesh,set_tempo,579,0,conductor,,,,,,,,,,,,,866425.0,,,,,,,
Bangladesh,set_tempo,359,0,conductor,,,,,,,,,,,,,868809.0,,,,,,,
Bangladesh,set_tempo,257,0,conductor,,,,,,,,,,,,,871143.0,,,,,,,
Bangladesh,set_tempo,861,0,conductor,,,,,,,,,,,,,868809.0,,,,,,,
Bangladesh,set_tempo,110,0,conductor,,,,,,,,,,,,,866425.0,,,,,,,
Bangladesh,set_tempo,295,0,conductor,,,,,,,,,,,,,864117.0,,,,,,,
Bangladesh,set_tempo,184,0,conductor,,,,,,,,,,,,,861759.0,,,,,,,
Bangladesh,set_tempo,2361,0,conductor,,,,,,,,,,,,,864117.0,,,,,,,
Bangladesh,set_tempo,277,0,conductor,,,,,,,,,,,,,866425.0,,,,,,,
Bangladesh,set_tempo,662,0,conductor,,,,,,,,,,,,,864117.0,,,,,,,
Bangladesh,set_tempo,287,0,conductor,,,,,,,,,,,,,866425.0,,,,,,,
Bangladesh,set_tempo,2274,0,conductor,,,,,,,,,,,,,868809.0,,,,,,,
Bangladesh,set_tempo,1184,0,conductor,,,,,,,,,,,,,871143.0,,,,,,,
Bangladesh,set_tempo,550,0,conductor,,,,,,,,,,,,,868809.0,,,,,,,
Bangladesh,set_tempo,578,0,conductor,,,,,,,,,,,,,871143.0,,,,,,,
Bangladesh,set_tempo,1255,0,conductor,,,,,,,,,,,,,873553.0,,,,,,,
Bangladesh,set_tempo,941,0,conductor,,,,,,,,,,,,,871143.0,,,,,,,
Bangladesh,set_tempo,695,0,conductor,,,,,,,,,,,,,868809.0,,,,,,,
Bangladesh,set_tempo,983,0,conductor,,,,,,,,,,,,,866425.0,,,,,,,
Bangladesh,set_tempo,184,0,conductor,,,,,,,,,,,,,868809.0,,,,,,,
Bangladesh,set_tempo,174,0,conductor,,,,,,,,,,,,,871143.0,,,,,,,
