Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Burma,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Burma,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Burma,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,8.0,12.0,8.0,
Burma,set_tempo,0,0,conductor,,,,,,,,,,,,,1714285.0,,,,,,,
Burma,key_signature,0,0,conductor,,,,,Ab,,,,,,,,,,,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,Country: Burma,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name:,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,(c) 1991,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,The Software Toolworks,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,revised 11-15-91,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,date: 7-14-91,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 8-31-91,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,mm edit 9-12-91,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Burma,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Burma,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Burma,midi_port,0,1,MELODY              ,,,,,,,0.0,,,,,,,,,,,,,
Burma,track_name,0,1,MELODY              ,,,,,,,,,,,,,,,,,,,,
Burma,program_change,0,1,MELODY              ,0.0,,,,,,,,,,77.0,,,,,,,,,
Burma,control_change,0,1,MELODY              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Burma,note_on,0,1,MELODY              ,0.0,,,,,,,77.0,100.0,,,,,,,,,,,
Burma,note_off,130,1,MELODY              ,0.0,,,,,,,77.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,79.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,79.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,80.0,100.0,,,,,,,,,,,
Burma,note_off,178,1,MELODY              ,0.0,,,,,,,80.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,77.0,100.0,,,,,,,,,,,
Burma,note_off,130,1,MELODY              ,0.0,,,,,,,77.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,79.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,79.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,80.0,100.0,,,,,,,,,,,
Burma,note_off,178,1,MELODY              ,0.0,,,,,,,80.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,87.0,100.0,,,,,,,,,,,
Burma,note_off,82,1,MELODY              ,0.0,,,,,,,87.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,89.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,89.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,87.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,87.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,85.0,100.0,,,,,,,,,,,
Burma,note_off,82,1,MELODY              ,0.0,,,,,,,85.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,87.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,87.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,85.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,85.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,84.0,100.0,,,,,,,,,,,
Burma,note_off,82,1,MELODY              ,0.0,,,,,,,84.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,82.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,82.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,84.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,84.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,80.0,100.0,,,,,,,,,,,
Burma,note_off,178,1,MELODY              ,0.0,,,,,,,80.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,77.0,100.0,,,,,,,,,,,
Burma,note_off,130,1,MELODY              ,0.0,,,,,,,77.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,79.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,79.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,80.0,100.0,,,,,,,,,,,
Burma,note_off,178,1,MELODY              ,0.0,,,,,,,80.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,77.0,100.0,,,,,,,,,,,
Burma,note_off,130,1,MELODY              ,0.0,,,,,,,77.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,79.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,79.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,80.0,100.0,,,,,,,,,,,
Burma,note_off,178,1,MELODY              ,0.0,,,,,,,80.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,87.0,100.0,,,,,,,,,,,
Burma,note_off,82,1,MELODY              ,0.0,,,,,,,87.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,89.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,89.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,87.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,87.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,85.0,100.0,,,,,,,,,,,
Burma,note_off,82,1,MELODY              ,0.0,,,,,,,85.0,64.0,,,,,,,,,,,
Burma,note_on,14,1,MELODY              ,0.0,,,,,,,87.0,100.0,,,,,,,,,,,
Burma,note_off,34,1,MELODY              ,0.0,,,,,,,87.0,64.0,,,,,,,,,,,
