Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Colombia,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Colombia,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Colombia,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Colombia,set_tempo,0,0,conductor,,,,,,,,,,,,,535714.0,,,,,,,
Colombia,key_signature,0,0,conductor,,,,,Eb,,,,,,,,,,,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,Country: Colombia,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,revised 11-26-91,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,date:7-16-91,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-1-91,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,, {602} 979-6201,,,,,
Colombia,text,0,0,conductor,,,,,,,,,,,,,,,MULTIMEDIA WINDOWS VERSION,,,,,
Colombia,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Colombia,midi_port,0,1,MELODY              ,,,,,,,0.0,,,,,,,,,,,,,
Colombia,track_name,0,1,MELODY              ,,,,,,,,,,,,,,,,,,,,
Colombia,program_change,0,1,MELODY              ,0.0,,,,,,,,,,17.0,,,,,,,,,
Colombia,control_change,0,1,MELODY              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Colombia,note_on,5952,1,MELODY              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Colombia,note_off,130,1,MELODY              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Colombia,note_on,14,1,MELODY              ,0.0,,,,,,,68.0,127.0,,,,,,,,,,,
Colombia,note_off,34,1,MELODY              ,0.0,,,,,,,68.0,64.0,,,,,,,,,,,
Colombia,note_on,14,1,MELODY              ,0.0,,,,,,,70.0,127.0,,,,,,,,,,,
Colombia,note_off,178,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Colombia,note_on,14,1,MELODY              ,0.0,,,,,,,70.0,127.0,,,,,,,,,,,
Colombia,note_off,178,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Colombia,note_on,14,1,MELODY              ,0.0,,,,,,,72.0,127.0,,,,,,,,,,,
Colombia,note_off,178,1,MELODY              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Colombia,note_on,14,1,MELODY              ,0.0,,,,,,,70.0,127.0,,,,,,,,,,,
Colombia,note_off,130,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Colombia,note_on,14,1,MELODY              ,0.0,,,,,,,69.0,127.0,,,,,,,,,,,
Colombia,note_off,34,1,MELODY              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Colombia,note_on,14,1,MELODY              ,0.0,,,,,,,70.0,127.0,,,,,,,,,,,
