Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Croatia,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Croatia,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Croatia,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Croatia,set_tempo,0,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Croatia,key_signature,0,0,conductor,,,,,Bb,,,,,,,,,,,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,Country: Croatia,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name:,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1992,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,notes:,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,date: 7-11-92,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,edit date:,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,"Wallace Music & Sound, Inc.",,,,,
Croatia,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6210,,,,,
Croatia,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Croatia,midi_port,0,1,Melody              ,,,,,,,0.0,,,,,,,,,,,,,
Croatia,track_name,0,1,Melody              ,,,,,,,,,,,,,,,,,,,,
Croatia,program_change,0,1,Melody              ,0.0,,,,,,,,,,71.0,,,,,,,,,
Croatia,note_on,0,1,Melody              ,0.0,,,,,,,74.0,115.0,,,,,,,,,,,
Croatia,note_off,175,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Croatia,note_on,18,1,Melody              ,0.0,,,,,,,74.0,115.0,,,,,,,,,,,
Croatia,note_off,177,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Croatia,note_on,21,1,Melody              ,0.0,,,,,,,74.0,116.0,,,,,,,,,,,
Croatia,note_off,268,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Croatia,note_on,6,1,Melody              ,0.0,,,,,,,72.0,117.0,,,,,,,,,,,
