Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Cuba,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Cuba,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Cuba,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Cuba,set_tempo,0,0,conductor,,,,,,,,,,,,,555555.0,,,,,,,
Cuba,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Cuba,midi_port,0,1,exten synt,,,,,,,0.0,,,,,,,,,,,,,
Cuba,track_name,0,1,exten synt,,,,,,,,,,,,,,,,,,,,
Cuba,program_change,0,1,exten synt,2.0,,,,,,,,,,48.0,,,,,,,,,
Cuba,control_change,0,1,exten synt,,7.0,100.0,,,,,,,,,,,,,,,,,
Cuba,control_change,0,1,exten synt,,10.0,64.0,,,,,,,,,,,,,,,,,
Cuba,program_change,369,1,exten synt,2.0,,,,,,,,,,57.0,,,,,,,,,
Cuba,control_change,0,1,exten synt,,7.0,127.0,,,,,,,,,,,,,,,,,
Cuba,control_change,0,1,exten synt,,10.0,40.0,,,,,,,,,,,,,,,,,
Cuba,control_change,0,1,exten synt,,91.0,64.0,,,,,,,,,,,,,,,,,
Cuba,control_change,0,1,exten synt,,93.0,105.0,,,,,,,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,70.0,104.0,,,,,,,,,,,
Cuba,note_on,12,1,exten synt,2.0,,,,,,,58.0,93.0,,,,,,,,,,,
Cuba,note_on,498,1,exten synt,2.0,,,,,,,58.0,0.0,,,,,,,,,,,
Cuba,note_on,35,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Cuba,note_on,42,1,exten synt,2.0,,,,,,,70.0,105.0,,,,,,,,,,,
Cuba,note_on,10,1,exten synt,2.0,,,,,,,58.0,103.0,,,,,,,,,,,
Cuba,note_on,42,1,exten synt,2.0,,,,,,,58.0,0.0,,,,,,,,,,,
Cuba,note_on,12,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Cuba,note_on,32,1,exten synt,2.0,,,,,,,58.0,96.0,,,,,,,,,,,
Cuba,note_on,1,1,exten synt,2.0,,,,,,,70.0,97.0,,,,,,,,,,,
Cuba,note_on,50,1,exten synt,2.0,,,,,,,58.0,0.0,,,,,,,,,,,
Cuba,note_on,9,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Cuba,note_on,40,1,exten synt,2.0,,,,,,,70.0,103.0,,,,,,,,,,,
Cuba,note_on,4,1,exten synt,2.0,,,,,,,58.0,92.0,,,,,,,,,,,
Cuba,note_on,443,1,exten synt,2.0,,,,,,,58.0,0.0,,,,,,,,,,,
Cuba,note_on,64,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Cuba,note_on,37,1,exten synt,2.0,,,,,,,58.0,104.0,,,,,,,,,,,
Cuba,note_on,1,1,exten synt,2.0,,,,,,,70.0,102.0,,,,,,,,,,,
Cuba,note_on,43,1,exten synt,2.0,,,,,,,58.0,0.0,,,,,,,,,,,
Cuba,note_on,13,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Cuba,note_on,30,1,exten synt,2.0,,,,,,,70.0,90.0,,,,,,,,,,,
Cuba,note_on,7,1,exten synt,2.0,,,,,,,58.0,85.0,,,,,,,,,,,
Cuba,note_on,52,1,exten synt,2.0,,,,,,,58.0,0.0,,,,,,,,,,,
Cuba,note_on,14,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Cuba,note_on,52,1,exten synt,2.0,,,,,,,75.0,94.0,,,,,,,,,,,
Cuba,note_on,3,1,exten synt,2.0,,,,,,,63.0,91.0,,,,,,,,,,,
Cuba,note_on,217,1,exten synt,2.0,,,,,,,63.0,0.0,,,,,,,,,,,
Cuba,note_on,59,1,exten synt,2.0,,,,,,,75.0,0.0,,,,,,,,,,,
Cuba,note_on,14,1,exten synt,2.0,,,,,,,58.0,101.0,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,70.0,101.0,,,,,,,,,,,
Cuba,note_on,84,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,58.0,0.0,,,,,,,,,,,
Cuba,note_on,32,1,exten synt,2.0,,,,,,,60.0,102.0,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,72.0,102.0,,,,,,,,,,,
Cuba,note_on,103,1,exten synt,2.0,,,,,,,72.0,0.0,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,60.0,0.0,,,,,,,,,,,
Cuba,note_on,19,1,exten synt,2.0,,,,,,,55.0,90.0,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,67.0,90.0,,,,,,,,,,,
Cuba,note_on,72,1,exten synt,2.0,,,,,,,67.0,0.0,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,55.0,0.0,,,,,,,,,,,
Cuba,note_on,32,1,exten synt,2.0,,,,,,,60.0,94.0,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,72.0,94.0,,,,,,,,,,,
Cuba,note_on,100,1,exten synt,2.0,,,,,,,72.0,0.0,,,,,,,,,,,
Cuba,note_on,0,1,exten synt,2.0,,,,,,,60.0,0.0,,,,,,,,,,,
Cuba,note_on,25,1,exten synt,2.0,,,,,,,70.0,93.0,,,,,,,,,,,
Cuba,note_on,5,1,exten synt,2.0,,,,,,,58.0,98.0,,,,,,,,,,,
Cuba,note_on,354,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
