Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Germany,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Germany,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[25, 32, 0, 0, 0, 0]",,,,,,
Germany,time_signature,0,0,conductor,,,,,,,,,,,,,,,,2.0,4.0,24.0,8.0,
Germany,set_tempo,313,0,conductor,,,,,,,,,,,,,781148.0,,,,,,,
Germany,set_tempo,439,0,conductor,,,,,,,,,,,,,778008.0,,,,,,,
Germany,set_tempo,144,0,conductor,,,,,,,,,,,,,781148.0,,,,,,,
Germany,set_tempo,561,0,conductor,,,,,,,,,,,,,784313.0,,,,,,,
Germany,set_tempo,41,0,conductor,,,,,,,,,,,,,787608.0,,,,,,,
Germany,time_signature,422,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Germany,set_tempo,317,0,conductor,,,,,,,,,,,,,784313.0,,,,,,,
Germany,set_tempo,346,0,conductor,,,,,,,,,,,,,781148.0,,,,,,,
Germany,set_tempo,888,0,conductor,,,,,,,,,,,,,784313.0,,,,,,,
Germany,set_tempo,163,0,conductor,,,,,,,,,,,,,787608.0,,,,,,,
Germany,set_tempo,112,0,conductor,,,,,,,,,,,,,790826.0,,,,,,,
Germany,set_tempo,544,0,conductor,,,,,,,,,,,,,787608.0,,,,,,,
Germany,set_tempo,405,0,conductor,,,,,,,,,,,,,790826.0,,,,,,,
Germany,set_tempo,121,0,conductor,,,,,,,,,,,,,794070.0,,,,,,,
Germany,set_tempo,81,0,conductor,,,,,,,,,,,,,797342.0,,,,,,,
Germany,set_tempo,180,0,conductor,,,,,,,,,,,,,794070.0,,,,,,,
Germany,set_tempo,231,0,conductor,,,,,,,,,,,,,790826.0,,,,,,,
Germany,set_tempo,222,0,conductor,,,,,,,,,,,,,794070.0,,,,,,,
Germany,set_tempo,90,0,conductor,,,,,,,,,,,,,797342.0,,,,,,,
Germany,set_tempo,440,0,conductor,,,,,,,,,,,,,800747.0,,,,,,,
Germany,set_tempo,229,0,conductor,,,,,,,,,,,,,797342.0,,,,,,,
Germany,set_tempo,100,0,conductor,,,,,,,,,,,,,794070.0,,,,,,,
Germany,set_tempo,111,0,conductor,,,,,,,,,,,,,790826.0,,,,,,,
Germany,set_tempo,494,0,conductor,,,,,,,,,,,,,794070.0,,,,,,,
Germany,set_tempo,101,0,conductor,,,,,,,,,,,,,797342.0,,,,,,,
Germany,set_tempo,50,0,conductor,,,,,,,,,,,,,800747.0,,,,,,,
Germany,set_tempo,69,0,conductor,,,,,,,,,,,,,804073.0,,,,,,,
Germany,set_tempo,60,0,conductor,,,,,,,,,,,,,807428.0,,,,,,,
Germany,set_tempo,59,0,conductor,,,,,,,,,,,,,810810.0,,,,,,,
Germany,set_tempo,49,0,conductor,,,,,,,,,,,,,814332.0,,,,,,,
Germany,set_tempo,98,0,conductor,,,,,,,,,,,,,817772.0,,,,,,,
Germany,set_tempo,59,0,conductor,,,,,,,,,,,,,821242.0,,,,,,,
