Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Hungary,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Hungary,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[25, 32, 0, 0, 0, 0]",,,,,,
Hungary,set_tempo,0,0,conductor,,,,,,,,,,,,,752823.0,,,,,,,
Hungary,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Hungary,set_tempo,713,0,conductor,,,,,,,,,,,,,717017.0,,,,,,,
Hungary,set_tempo,89,0,conductor,,,,,,,,,,,,,719251.0,,,,,,,
Hungary,set_tempo,23,0,conductor,,,,,,,,,,,,,721587.0,,,,,,,
Hungary,set_tempo,176,0,conductor,,,,,,,,,,,,,723850.0,,,,,,,
Hungary,set_tempo,34,0,conductor,,,,,,,,,,,,,726216.0,,,,,,,
Hungary,set_tempo,43,0,conductor,,,,,,,,,,,,,728597.0,,,,,,,
Hungary,set_tempo,845,0,conductor,,,,,,,,,,,,,726216.0,,,,,,,
Hungary,set_tempo,141,0,conductor,,,,,,,,,,,,,723850.0,,,,,,,
Hungary,set_tempo,144,0,conductor,,,,,,,,,,,,,721587.0,,,,,,,
Hungary,set_tempo,243,0,conductor,,,,,,,,,,,,,719251.0,,,,,,,
Hungary,set_tempo,255,0,conductor,,,,,,,,,,,,,717017.0,,,,,,,
Hungary,set_tempo,222,0,conductor,,,,,,,,,,,,,714711.0,,,,,,,
Hungary,set_tempo,98,0,conductor,,,,,,,,,,,,,712504.0,,,,,,,
Hungary,set_tempo,1212,0,conductor,,,,,,,,,,,,,710227.0,,,,,,,
Hungary,set_tempo,539,0,conductor,,,,,,,,,,,,,707964.0,,,,,,,
Hungary,set_tempo,1206,0,conductor,,,,,,,,,,,,,710227.0,,,,,,,
Hungary,set_tempo,775,0,conductor,,,,,,,,,,,,,707964.0,,,,,,,
Hungary,set_tempo,958,0,conductor,,,,,,,,,,,,,710227.0,,,,,,,
Hungary,set_tempo,33,0,conductor,,,,,,,,,,,,,712504.0,,,,,,,
Hungary,set_tempo,471,0,conductor,,,,,,,,,,,,,714711.0,,,,,,,
Hungary,set_tempo,982,0,conductor,,,,,,,,,,,,,712504.0,,,,,,,
Hungary,set_tempo,863,0,conductor,,,,,,,,,,,,,714711.0,,,,,,,
Hungary,set_tempo,446,0,conductor,,,,,,,,,,,,,717017.0,,,,,,,
Hungary,set_tempo,601,0,conductor,,,,,,,,,,,,,714711.0,,,,,,,
Hungary,set_tempo,89,0,conductor,,,,,,,,,,,,,712504.0,,,,,,,
Hungary,set_tempo,772,0,conductor,,,,,,,,,,,,,714711.0,,,,,,,
Hungary,set_tempo,3684,0,conductor,,,,,,,,,,,,,712504.0,,,,,,,
Hungary,set_tempo,1869,0,conductor,,,,,,,,,,,,,710227.0,,,,,,,
Hungary,set_tempo,3943,0,conductor,,,,,,,,,,,,,712504.0,,,,,,,
Hungary,set_tempo,828,0,conductor,,,,,,,,,,,,,714711.0,,,,,,,
Hungary,set_tempo,78,0,conductor,,,,,,,,,,,,,717017.0,,,,,,,
Hungary,set_tempo,757,0,conductor,,,,,,,,,,,,,714711.0,,,,,,,
Hungary,set_tempo,3348,0,conductor,,,,,,,,,,,,,717017.0,,,,,,,
Hungary,set_tempo,402,0,conductor,,,,,,,,,,,,,714711.0,,,,,,,
Hungary,set_tempo,1818,0,conductor,,,,,,,,,,,,,717017.0,,,,,,,
Hungary,set_tempo,79,0,conductor,,,,,,,,,,,,,719251.0,,,,,,,
Hungary,set_tempo,343,0,conductor,,,,,,,,,,,,,721587.0,,,,,,,
Hungary,set_tempo,442,0,conductor,,,,,,,,,,,,,723850.0,,,,,,,
Hungary,set_tempo,617,0,conductor,,,,,,,,,,,,,726216.0,,,,,,,
Hungary,set_tempo,1022,0,conductor,,,,,,,,,,,,,728597.0,,,,,,,
Hungary,set_tempo,493,0,conductor,,,,,,,,,,,,,730905.0,,,,,,,
Hungary,set_tempo,818,0,conductor,,,,,,,,,,,,,733317.0,,,,,,,
Hungary,set_tempo,261,0,conductor,,,,,,,,,,,,,735654.0,,,,,,,
Hungary,set_tempo,274,0,conductor,,,,,,,,,,,,,738098.0,,,,,,,
Hungary,set_tempo,127,0,conductor,,,,,,,,,,,,,740466.0,,,,,,,
Hungary,set_tempo,700,0,conductor,,,,,,,,,,,,,742942.0,,,,,,,
Hungary,set_tempo,494,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Hungary,set_tempo,2151,0,conductor,,,,,,,,,,,,,747849.0,,,,,,,
Hungary,set_tempo,886,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Hungary,set_tempo,278,0,conductor,,,,,,,,,,,,,742942.0,,,,,,,
Hungary,set_tempo,279,0,conductor,,,,,,,,,,,,,740466.0,,,,,,,
Hungary,set_tempo,2144,0,conductor,,,,,,,,,,,,,742942.0,,,,,,,
Hungary,set_tempo,108,0,conductor,,,,,,,,,,,,,745341.0,,,,,,,
Hungary,set_tempo,363,0,conductor,,,,,,,,,,,,,747849.0,,,,,,,
Hungary,set_tempo,1003,0,conductor,,,,,,,,,,,,,750375.0,,,,,,,
Hungary,set_tempo,287,0,conductor,,,,,,,,,,,,,752823.0,,,,,,,
Hungary,set_tempo,106,0,conductor,,,,,,,,,,,,,755382.0,,,,,,,
Hungary,set_tempo,106,0,conductor,,,,,,,,,,,,,757862.0,,,,,,,
Hungary,set_tempo,31,0,conductor,,,,,,,,,,,,,762970.0,,,,,,,
Hungary,set_tempo,94,0,conductor,,,,,,,,,,,,,765599.0,,,,,,,
Hungary,set_tempo,73,0,conductor,,,,,,,,,,,,,768245.0,,,,,,,
Hungary,set_tempo,52,0,conductor,,,,,,,,,,,,,770811.0,,,,,,,
Hungary,set_tempo,93,0,conductor,,,,,,,,,,,,,773494.0,,,,,,,
Hungary,set_tempo,83,0,conductor,,,,,,,,,,,,,776096.0,,,,,,,
Hungary,set_tempo,41,0,conductor,,,,,,,,,,,,,778816.0,,,,,,,
Hungary,set_tempo,41,0,conductor,,,,,,,,,,,,,781453.0,,,,,,,
Hungary,set_tempo,41,0,conductor,,,,,,,,,,,,,784211.0,,,,,,,
Hungary,set_tempo,81,0,conductor,,,,,,,,,,,,,786885.0,,,,,,,
Hungary,set_tempo,51,0,conductor,,,,,,,,,,,,,789681.0,,,,,,,
Hungary,set_tempo,81,0,conductor,,,,,,,,,,,,,792497.0,,,,,,,
Hungary,set_tempo,50,0,conductor,,,,,,,,,,,,,795228.0,,,,,,,
Hungary,set_tempo,110,0,conductor,,,,,,,,,,,,,798084.0,,,,,,,
