Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Iran,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iran,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Iran,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Iran,set_tempo,0,0,conductor,,,,,,,,,,,,,500000.0,,,,,,,
Iran,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,Country: IRAN,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name:,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,notes:,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,date:,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-10-91,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,BPM:,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE:,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,?= no marking != bpm provided,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Iran,text,0,0,conductor,,,,,,,,,,,,,,,(602) 978-0835,,,,,
Iran,set_tempo,18432,0,conductor,,,,,,,,,,,,,600000.0,,,,,,,
Iran,set_tempo,768,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Iran,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Iran,midi_port,0,1,MELODY              ,,,,,,,0.0,,,,,,,,,,,,,
Iran,track_name,0,1,MELODY              ,,,,,,,,,,,,,,,,,,,,
Iran,program_change,0,1,MELODY              ,0.0,,,,,,,,,,71.0,,,,,,,,,
Iran,control_change,0,1,MELODY              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Iran,note_on,576,1,MELODY              ,0.0,,,,,,,60.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,60.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Iran,note_off,128,1,MELODY              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Iran,note_off,32,1,MELODY              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Iran,note_off,128,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Iran,note_off,32,1,MELODY              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Iran,note_off,272,1,MELODY              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Iran,note_on,64,1,MELODY              ,0.0,,,,,,,60.0,100.0,,,,,,,,,,,
Iran,note_on,48,1,MELODY              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Iran,note_off,32,1,MELODY              ,0.0,,,,,,,60.0,64.0,,,,,,,,,,,
Iran,note_off,144,1,MELODY              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Iran,note_off,128,1,MELODY              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Iran,note_off,32,1,MELODY              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Iran,note_off,128,1,MELODY              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Iran,note_off,32,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Iran,note_off,368,1,MELODY              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Iran,note_off,176,1,MELODY              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Iran,note_on,16,1,MELODY              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Iran,note_off,128,1,MELODY              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
