Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Iraq,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Iraq,time_signature,0,0,conductor,,,,,,,,,,,,,,,,2.0,4.0,24.0,8.0,
Iraq,set_tempo,0,0,conductor,,,,,,,,,,,,,521739.0,,,,,,,
Iraq,key_signature,0,0,conductor,,,,,Eb,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,Country: IRAQ,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name:,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-11-91,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE: 9-12-91,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Iraq,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Iraq,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Iraq,midi_port,0,1,R.H.                ,,,,,,,0.0,,,,,,,,,,,,,
Iraq,track_name,0,1,R.H.                ,,,,,,,,,,,,,,,,,,,,
Iraq,program_change,0,1,R.H.                ,1.0,,,,,,,,,,18.0,,,,,,,,,
Iraq,control_change,0,1,R.H.                ,,7.0,80.0,,,,,,,,,,,,,,,,,
Iraq,note_on,192,1,R.H.                ,1.0,,,,,,,58.0,100.0,,,,,,,,,,,
Iraq,note_off,80,1,R.H.                ,1.0,,,,,,,58.0,64.0,,,,,,,,,,,
Iraq,note_on,16,1,R.H.                ,1.0,,,,,,,58.0,100.0,,,,,,,,,,,
Iraq,note_off,80,1,R.H.                ,1.0,,,,,,,58.0,64.0,,,,,,,,,,,
