Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Japan,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Japan,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[25, 32, 0, 0, 0, 0]",,,,,,
Japan,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Japan,set_tempo,243,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,62,0,conductor,,,,,,,,,,,,,759493.0,,,,,,,
Japan,set_tempo,31,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,31,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,62,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,42,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,74,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,73,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,138,0,conductor,,,,,,,,,,,,,749437.0,,,,,,,
Japan,set_tempo,117,0,conductor,,,,,,,,,,,,,746268.0,,,,,,,
Japan,set_tempo,97,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Japan,set_tempo,161,0,conductor,,,,,,,,,,,,,739918.0,,,,,,,
Japan,set_tempo,32,0,conductor,,,,,,,,,,,,,736829.0,,,,,,,
Japan,set_tempo,65,0,conductor,,,,,,,,,,,,,733675.0,,,,,,,
Japan,set_tempo,54,0,conductor,,,,,,,,,,,,,730638.0,,,,,,,
Japan,set_tempo,88,0,conductor,,,,,,,,,,,,,727625.0,,,,,,,
Japan,set_tempo,87,0,conductor,,,,,,,,,,,,,724550.0,,,,,,,
Japan,set_tempo,55,0,conductor,,,,,,,,,,,,,721587.0,,,,,,,
Japan,set_tempo,155,0,conductor,,,,,,,,,,,,,718562.0,,,,,,,
Japan,set_tempo,67,0,conductor,,,,,,,,,,,,,715648.0,,,,,,,
Japan,set_tempo,78,0,conductor,,,,,,,,,,,,,712758.0,,,,,,,
Japan,set_tempo,112,0,conductor,,,,,,,,,,,,,709807.0,,,,,,,
Japan,set_tempo,518,0,conductor,,,,,,,,,,,,,712758.0,,,,,,,
Japan,set_tempo,179,0,conductor,,,,,,,,,,,,,715648.0,,,,,,,
Japan,set_tempo,178,0,conductor,,,,,,,,,,,,,718562.0,,,,,,,
Japan,set_tempo,122,0,conductor,,,,,,,,,,,,,721587.0,,,,,,,
Japan,set_tempo,77,0,conductor,,,,,,,,,,,,,724550.0,,,,,,,
Japan,set_tempo,100,0,conductor,,,,,,,,,,,,,727625.0,,,,,,,
Japan,set_tempo,87,0,conductor,,,,,,,,,,,,,730638.0,,,,,,,
Japan,set_tempo,88,0,conductor,,,,,,,,,,,,,733675.0,,,,,,,
Japan,set_tempo,86,0,conductor,,,,,,,,,,,,,736829.0,,,,,,,
Japan,set_tempo,55,0,conductor,,,,,,,,,,,,,739918.0,,,,,,,
Japan,set_tempo,86,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Japan,set_tempo,43,0,conductor,,,,,,,,,,,,,746268.0,,,,,,,
Japan,set_tempo,64,0,conductor,,,,,,,,,,,,,749437.0,,,,,,,
Japan,set_tempo,74,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,86,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,337,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,105,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,209,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,260,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,22,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,115,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,169,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,297,0,conductor,,,,,,,,,,,,,749437.0,,,,,,,
Japan,set_tempo,21,0,conductor,,,,,,,,,,,,,746268.0,,,,,,,
Japan,set_tempo,181,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Japan,set_tempo,226,0,conductor,,,,,,,,,,,,,739918.0,,,,,,,
Japan,set_tempo,248,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Japan,set_tempo,64,0,conductor,,,,,,,,,,,,,746268.0,,,,,,,
Japan,set_tempo,44,0,conductor,,,,,,,,,,,,,749437.0,,,,,,,
Japan,set_tempo,95,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,106,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,105,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,95,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,94,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,73,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,62,0,conductor,,,,,,,,,,,,,759493.0,,,,,,,
Japan,set_tempo,871,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,21,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,10,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,32,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,94,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,95,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,85,0,conductor,,,,,,,,,,,,,749437.0,,,,,,,
Japan,set_tempo,149,0,conductor,,,,,,,,,,,,,746268.0,,,,,,,
Japan,set_tempo,171,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Japan,set_tempo,472,0,conductor,,,,,,,,,,,,,739918.0,,,,,,,
Japan,set_tempo,65,0,conductor,,,,,,,,,,,,,736829.0,,,,,,,
Japan,set_tempo,119,0,conductor,,,,,,,,,,,,,739918.0,,,,,,,
Japan,set_tempo,54,0,conductor,,,,,,,,,,,,,743034.0,,,,,,,
Japan,set_tempo,86,0,conductor,,,,,,,,,,,,,746268.0,,,,,,,
Japan,set_tempo,43,0,conductor,,,,,,,,,,,,,749437.0,,,,,,,
Japan,set_tempo,63,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,64,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,43,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,51,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,63,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,42,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,63,0,conductor,,,,,,,,,,,,,772698.0,,,,,,,
Japan,set_tempo,454,0,conductor,,,,,,,,,,,,,776096.0,,,,,,,
Japan,set_tempo,195,0,conductor,,,,,,,,,,,,,779625.0,,,,,,,
Japan,set_tempo,286,0,conductor,,,,,,,,,,,,,783085.0,,,,,,,
Japan,set_tempo,41,0,conductor,,,,,,,,,,,,,786575.0,,,,,,,
Japan,set_tempo,385,0,conductor,,,,,,,,,,,,,790201.0,,,,,,,
Japan,set_tempo,142,0,conductor,,,,,,,,,,,,,793755.0,,,,,,,
Japan,set_tempo,160,0,conductor,,,,,,,,,,,,,790201.0,,,,,,,
Japan,set_tempo,91,0,conductor,,,,,,,,,,,,,786575.0,,,,,,,
Japan,set_tempo,51,0,conductor,,,,,,,,,,,,,783085.0,,,,,,,
Japan,set_tempo,193,0,conductor,,,,,,,,,,,,,779625.0,,,,,,,
Japan,set_tempo,63,0,conductor,,,,,,,,,,,,,776096.0,,,,,,,
Japan,set_tempo,163,0,conductor,,,,,,,,,,,,,772698.0,,,,,,,
Japan,set_tempo,52,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,73,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,103,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,63,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,74,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,63,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,85,0,conductor,,,,,,,,,,,,,749437.0,,,,,,,
Japan,set_tempo,106,0,conductor,,,,,,,,,,,,,746268.0,,,,,,,
Japan,set_tempo,577,0,conductor,,,,,,,,,,,,,749437.0,,,,,,,
Japan,set_tempo,43,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,127,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,116,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,95,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,627,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,116,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,63,0,conductor,,,,,,,,,,,,,752728.0,,,,,,,
Japan,set_tempo,784,0,conductor,,,,,,,,,,,,,755953.0,,,,,,,
Japan,set_tempo,52,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Japan,set_tempo,95,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,168,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,52,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,31,0,conductor,,,,,,,,,,,,,772698.0,,,,,,,
Japan,set_tempo,83,0,conductor,,,,,,,,,,,,,776096.0,,,,,,,
Japan,set_tempo,41,0,conductor,,,,,,,,,,,,,779625.0,,,,,,,
Japan,set_tempo,41,0,conductor,,,,,,,,,,,,,783085.0,,,,,,,
Japan,set_tempo,265,0,conductor,,,,,,,,,,,,,779625.0,,,,,,,
Japan,set_tempo,91,0,conductor,,,,,,,,,,,,,776096.0,,,,,,,
Japan,set_tempo,73,0,conductor,,,,,,,,,,,,,772698.0,,,,,,,
Japan,set_tempo,102,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,115,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,93,0,conductor,,,,,,,,,,,,,762582.0,,,,,,,
Japan,set_tempo,618,0,conductor,,,,,,,,,,,,,765892.0,,,,,,,
Japan,set_tempo,41,0,conductor,,,,,,,,,,,,,769230.0,,,,,,,
Japan,set_tempo,104,0,conductor,,,,,,,,,,,,,772698.0,,,,,,,
Japan,set_tempo,113,0,conductor,,,,,,,,,,,,,776096.0,,,,,,,
Japan,set_tempo,155,0,conductor,,,,,,,,,,,,,779625.0,,,,,,,
Japan,set_tempo,378,0,conductor,,,,,,,,,,,,,783085.0,,,,,,,
Japan,set_tempo,194,0,conductor,,,,,,,,,,,,,786575.0,,,,,,,
Japan,set_tempo,192,0,conductor,,,,,,,,,,,,,790201.0,,,,,,,
Japan,set_tempo,313,0,conductor,,,,,,,,,,,,,793755.0,,,,,,,
Japan,set_tempo,131,0,conductor,,,,,,,,,,,,,797342.0,,,,,,,
Japan,set_tempo,130,0,conductor,,,,,,,,,,,,,801068.0,,,,,,,
Japan,set_tempo,189,0,conductor,,,,,,,,,,,,,804721.0,,,,,,,
Japan,set_tempo,159,0,conductor,,,,,,,,,,,,,808516.0,,,,,,,
