Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Laos,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Laos,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Laos,time_signature,0,0,conductor,,,,,,,,,,,,,,,,2.0,4.0,24.0,8.0,
Laos,set_tempo,0,0,conductor,,,,,,,,,,,,,1200000.0,,,,,,,
Laos,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,Country: LAOS,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name:,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,notes:,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,date:,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-1-91,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,BPM:,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE:9-12-91,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,?= no marking != bpm provided,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Laos,text,0,0,conductor,,,,,,,,,,,,,,,(602) 978-0835,,,,,
Laos,set_tempo,11136,0,conductor,,,,,,,,,,,,,3000000.0,,,,,,,
Laos,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Laos,midi_port,0,1,MELODY              ,,,,,,,0.0,,,,,,,,,,,,,
Laos,track_name,0,1,MELODY              ,,,,,,,,,,,,,,,,,,,,
Laos,program_change,0,1,MELODY              ,0.0,,,,,,,,,,104.0,,,,,,,,,
Laos,control_change,0,1,MELODY              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Laos,note_on,288,1,MELODY              ,0.0,,,,,,,60.0,100.0,,,,,,,,,,,
Laos,note_off,80,1,MELODY              ,0.0,,,,,,,60.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Laos,note_off,128,1,MELODY              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Laos,note_off,32,1,MELODY              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Laos,note_off,80,1,MELODY              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Laos,note_off,80,1,MELODY              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Laos,note_off,128,1,MELODY              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Laos,note_off,32,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Laos,note_off,80,1,MELODY              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Laos,note_off,80,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Laos,note_off,128,1,MELODY              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Laos,note_off,32,1,MELODY              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Laos,note_off,80,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Laos,note_off,80,1,MELODY              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Laos,note_off,272,1,MELODY              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Laos,note_off,80,1,MELODY              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Laos,note_off,128,1,MELODY              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Laos,note_on,16,1,MELODY              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
