Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Luxembourg,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Luxembourg,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Luxembourg,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Luxembourg,set_tempo,0,0,conductor,,,,,,,,,,,,,705882.0,,,,,,,
Luxembourg,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name: Our Motherland,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,Country: LUXEMBOURG,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,date:7-23-91,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-7-91,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,new #: {602} 979-6201,,,,,
Luxembourg,text,0,0,conductor,,,,,,,,,,,,,,,MULTIMEDIA WINDOWS VERSION,,,,,
Luxembourg,set_tempo,14592,0,conductor,,,,,,,,,,,,,857142.0,,,,,,,
Luxembourg,set_tempo,768,0,conductor,,,,,,,,,,,,,1200000.0,,,,,,,
Luxembourg,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Luxembourg,midi_port,0,1,Melody              ,,,,,,,0.0,,,,,,,,,,,,,
Luxembourg,track_name,0,1,Melody              ,,,,,,,,,,,,,,,,,,,,
Luxembourg,program_change,0,1,Melody              ,0.0,,,,,,,,,,71.0,,,,,,,,,
Luxembourg,control_change,0,1,Melody              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Luxembourg,note_on,576,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Luxembourg,note_off,178,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Luxembourg,note_off,274,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,75.0,100.0,,,,,,,,,,,
Luxembourg,note_off,82,1,Melody              ,0.0,,,,,,,75.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,75.0,100.0,,,,,,,,,,,
Luxembourg,note_off,178,1,Melody              ,0.0,,,,,,,75.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Luxembourg,note_off,178,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Luxembourg,note_off,178,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,68.0,100.0,,,,,,,,,,,
Luxembourg,note_off,178,1,Melody              ,0.0,,,,,,,68.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,68.0,100.0,,,,,,,,,,,
Luxembourg,note_off,274,1,Melody              ,0.0,,,,,,,68.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,68.0,100.0,,,,,,,,,,,
Luxembourg,note_off,82,1,Melody              ,0.0,,,,,,,68.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,68.0,100.0,,,,,,,,,,,
Luxembourg,note_off,178,1,Melody              ,0.0,,,,,,,68.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Luxembourg,note_off,82,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Luxembourg,note_off,82,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Luxembourg,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Luxembourg,note_off,274,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
