Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Monaco,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Monaco,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Monaco,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Monaco,set_tempo,0,0,conductor,,,,,,,,,,,,,521739.0,,,,,,,
Monaco,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,Country: MONACO,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-12-91,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE: 9-12-91,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Monaco,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Monaco,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Monaco,midi_port,0,1,Melody              ,,,,,,,0.0,,,,,,,,,,,,,
Monaco,track_name,0,1,Melody              ,,,,,,,,,,,,,,,,,,,,
Monaco,program_change,0,1,Melody              ,0.0,,,,,,,,,,71.0,,,,,,,,,
Monaco,control_change,0,1,Melody              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Monaco,note_on,3072,1,Melody              ,0.0,,,,,,,62.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,71.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,71.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,71.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,62.0,100.0,,,,,,,,,,,
Monaco,note_off,178,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Monaco,note_on,206,1,Melody              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Monaco,note_off,658,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,71.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,71.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,398,1,Melody              ,0.0,,,,,,,62.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,71.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,71.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,71.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,69.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,67.0,100.0,,,,,,,,,,,
Monaco,note_off,178,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Monaco,note_on,206,1,Melody              ,0.0,,,,,,,76.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,76.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,76.0,100.0,,,,,,,,,,,
Monaco,note_off,274,1,Melody              ,0.0,,,,,,,76.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,76.0,100.0,,,,,,,,,,,
Monaco,note_off,82,1,Melody              ,0.0,,,,,,,76.0,64.0,,,,,,,,,,,
Monaco,note_on,14,1,Melody              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Monaco,note_off,370,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Monaco,note_on,206,1,Melody              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
