Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Mongolia,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Mongolia,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Mongolia,set_tempo,0,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Mongolia,key_signature,0,0,conductor,,,,,Ab,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,Country: MONGOLIA,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name:,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,edit date:9-11-91,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE: 9-12-91,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Mongolia,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Mongolia,set_tempo,768,0,conductor,,,,,,,,,,,,,535714.0,,,,,,,
Mongolia,set_tempo,10752,0,conductor,,,,,,,,,,,,,666666.0,,,,,,,
Mongolia,set_tempo,768,0,conductor,,,,,,,,,,,,,750000.0,,,,,,,
Mongolia,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Mongolia,midi_port,0,1,R.H.                ,,,,,,,0.0,,,,,,,,,,,,,
Mongolia,track_name,0,1,R.H.                ,,,,,,,,,,,,,,,,,,,,
Mongolia,program_change,0,1,R.H.                ,1.0,,,,,,,,,,17.0,,,,,,,,,
