Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Nicaragua,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Nicaragua,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Nicaragua,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Nicaragua,set_tempo,0,0,conductor,,,,,,,,,,,,,625000.0,,,,,,,
Nicaragua,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,Country: NICARAGUA,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,revised 11-26-91,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-6-91,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE: 9-12-91,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Nicaragua,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Nicaragua,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Nicaragua,midi_port,0,1,Melody              ,,,,,,,0.0,,,,,,,,,,,,,
Nicaragua,track_name,0,1,Melody              ,,,,,,,,,,,,,,,,,,,,
Nicaragua,program_change,0,1,Melody              ,0.0,,,,,,,,,,16.0,,,,,,,,,
Nicaragua,control_change,0,1,Melody              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Nicaragua,note_on,1344,1,Melody              ,0.0,,,,,,,58.0,127.0,,,,,,,,,,,
Nicaragua,note_off,80,1,Melody              ,0.0,,,,,,,58.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,60.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,60.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,62.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,63.0,127.0,,,,,,,,,,,
Nicaragua,note_off,176,1,Melody              ,0.0,,,,,,,63.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,63.0,127.0,,,,,,,,,,,
Nicaragua,note_off,128,1,Melody              ,0.0,,,,,,,63.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,63.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,63.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,176,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,128,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Nicaragua,note_off,272,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,80,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,63.0,127.0,,,,,,,,,,,
Nicaragua,note_off,176,1,Melody              ,0.0,,,,,,,63.0,64.0,,,,,,,,,,,
Nicaragua,note_on,208,1,Melody              ,0.0,,,,,,,70.0,127.0,,,,,,,,,,,
Nicaragua,note_off,176,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,70.0,127.0,,,,,,,,,,,
Nicaragua,note_off,176,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,176,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,128,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,62.0,127.0,,,,,,,,,,,
Nicaragua,note_off,128,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,58.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,58.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,62.0,127.0,,,,,,,,,,,
Nicaragua,note_off,128,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,70.0,127.0,,,,,,,,,,,
Nicaragua,note_off,80,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Nicaragua,note_on,112,1,Melody              ,0.0,,,,,,,58.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,58.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,60.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,60.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,62.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,63.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,63.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,176,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,128,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,65.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Nicaragua,note_off,176,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Nicaragua,note_off,128,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,70.0,127.0,,,,,,,,,,,
Nicaragua,note_off,32,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Nicaragua,note_on,16,1,Melody              ,0.0,,,,,,,68.0,127.0,,,,,,,,,,,
