Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Oman,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Oman,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Oman,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Oman,set_tempo,0,0,conductor,,,,,,,,,,,,,517241.0,,,,,,,
Oman,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,?= no marking != bpm provided,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name:,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,BPM: 116!,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,Country: OMAN,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,date: 7-23-91,,,,,
Oman,text,0,0,conductor,,,,,,,,,,,,,,,mm edit 9-13-91,,,,,
Oman,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Oman,midi_port,0,1,Melody              ,,,,,,,0.0,,,,,,,,,,,,,
Oman,track_name,0,1,Melody              ,,,,,,,,,,,,,,,,,,,,
Oman,program_change,0,1,Melody              ,0.0,,,,,,,,,,71.0,,,,,,,,,
Oman,control_change,0,1,Melody              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Oman,note_on,576,1,Melody              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Oman,note_off,178,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Oman,note_off,178,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Oman,note_off,130,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Oman,note_off,34,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Oman,note_off,130,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Oman,note_off,34,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,74.0,100.0,,,,,,,,,,,
Oman,note_off,130,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,70.0,100.0,,,,,,,,,,,
Oman,note_off,35,1,Melody              ,0.0,,,,,,,70.0,64.0,,,,,,,,,,,
Oman,note_on,13,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Oman,note_off,370,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Oman,note_on,206,1,Melody              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Oman,note_off,130,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,65.0,100.0,,,,,,,,,,,
Oman,note_off,35,1,Melody              ,0.0,,,,,,,65.0,64.0,,,,,,,,,,,
Oman,note_on,13,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Oman,note_off,178,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Oman,note_off,130,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Oman,note_off,34,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
Oman,note_on,14,1,Melody              ,0.0,,,,,,,72.0,100.0,,,,,,,,,,,
Oman,note_off,130,1,Melody              ,0.0,,,,,,,72.0,64.0,,,,,,,,,,,
