Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Pakistan,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Pakistan,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[25, 32, 0, 0, 0, 0]",,,,,,
Pakistan,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Pakistan,set_tempo,607,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Pakistan,set_tempo,42,0,conductor,,,,,,,,,,,,,757002.0,,,,,,,
Pakistan,set_tempo,211,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Pakistan,set_tempo,105,0,conductor,,,,,,,,,,,,,757002.0,,,,,,,
Pakistan,set_tempo,64,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Pakistan,set_tempo,41,0,conductor,,,,,,,,,,,,,752539.0,,,,,,,
Pakistan,set_tempo,234,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Pakistan,set_tempo,338,0,conductor,,,,,,,,,,,,,752539.0,,,,,,,
Pakistan,set_tempo,21,0,conductor,,,,,,,,,,,,,750375.0,,,,,,,
Pakistan,set_tempo,436,0,conductor,,,,,,,,,,,,,748129.0,,,,,,,
Pakistan,set_tempo,181,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,299,0,conductor,,,,,,,,,,,,,743770.0,,,,,,,
Pakistan,set_tempo,54,0,conductor,,,,,,,,,,,,,741656.0,,,,,,,
Pakistan,set_tempo,183,0,conductor,,,,,,,,,,,,,739462.0,,,,,,,
Pakistan,set_tempo,216,0,conductor,,,,,,,,,,,,,737372.0,,,,,,,
Pakistan,set_tempo,54,0,conductor,,,,,,,,,,,,,735294.0,,,,,,,
Pakistan,set_tempo,206,0,conductor,,,,,,,,,,,,,733137.0,,,,,,,
Pakistan,set_tempo,44,0,conductor,,,,,,,,,,,,,731083.0,,,,,,,
Pakistan,set_tempo,44,0,conductor,,,,,,,,,,,,,726920.0,,,,,,,
Pakistan,set_tempo,142,0,conductor,,,,,,,,,,,,,728951.0,,,,,,,
Pakistan,set_tempo,11,0,conductor,,,,,,,,,,,,,733137.0,,,,,,,
Pakistan,set_tempo,22,0,conductor,,,,,,,,,,,,,735294.0,,,,,,,
Pakistan,set_tempo,11,0,conductor,,,,,,,,,,,,,739462.0,,,,,,,
Pakistan,set_tempo,11,0,conductor,,,,,,,,,,,,,743770.0,,,,,,,
Pakistan,set_tempo,10,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,64,0,conductor,,,,,,,,,,,,,748129.0,,,,,,,
Pakistan,set_tempo,54,0,conductor,,,,,,,,,,,,,750375.0,,,,,,,
Pakistan,set_tempo,617,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,31,0,conductor,,,,,,,,,,,,,743770.0,,,,,,,
Pakistan,set_tempo,279,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,55,0,conductor,,,,,,,,,,,,,748129.0,,,,,,,
Pakistan,set_tempo,532,0,conductor,,,,,,,,,,,,,750375.0,,,,,,,
Pakistan,set_tempo,414,0,conductor,,,,,,,,,,,,,748129.0,,,,,,,
Pakistan,set_tempo,480,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,96,0,conductor,,,,,,,,,,,,,743770.0,,,,,,,
Pakistan,set_tempo,33,0,conductor,,,,,,,,,,,,,739462.0,,,,,,,
Pakistan,set_tempo,10,0,conductor,,,,,,,,,,,,,735294.0,,,,,,,
Pakistan,set_tempo,44,0,conductor,,,,,,,,,,,,,733137.0,,,,,,,
Pakistan,set_tempo,65,0,conductor,,,,,,,,,,,,,731083.0,,,,,,,
Pakistan,set_tempo,22,0,conductor,,,,,,,,,,,,,728951.0,,,,,,,
Pakistan,set_tempo,66,0,conductor,,,,,,,,,,,,,726920.0,,,,,,,
Pakistan,set_tempo,164,0,conductor,,,,,,,,,,,,,724812.0,,,,,,,
Pakistan,set_tempo,110,0,conductor,,,,,,,,,,,,,722804.0,,,,,,,
Pakistan,set_tempo,34,0,conductor,,,,,,,,,,,,,720720.0,,,,,,,
Pakistan,set_tempo,99,0,conductor,,,,,,,,,,,,,718735.0,,,,,,,
Pakistan,set_tempo,555,0,conductor,,,,,,,,,,,,,720720.0,,,,,,,
Pakistan,set_tempo,33,0,conductor,,,,,,,,,,,,,722804.0,,,,,,,
Pakistan,set_tempo,22,0,conductor,,,,,,,,,,,,,724812.0,,,,,,,
Pakistan,set_tempo,23,0,conductor,,,,,,,,,,,,,726920.0,,,,,,,
Pakistan,set_tempo,21,0,conductor,,,,,,,,,,,,,728951.0,,,,,,,
Pakistan,set_tempo,33,0,conductor,,,,,,,,,,,,,733137.0,,,,,,,
Pakistan,set_tempo,33,0,conductor,,,,,,,,,,,,,735294.0,,,,,,,
Pakistan,set_tempo,76,0,conductor,,,,,,,,,,,,,737372.0,,,,,,,
Pakistan,set_tempo,32,0,conductor,,,,,,,,,,,,,739462.0,,,,,,,
Pakistan,set_tempo,21,0,conductor,,,,,,,,,,,,,741656.0,,,,,,,
Pakistan,set_tempo,11,0,conductor,,,,,,,,,,,,,743770.0,,,,,,,
Pakistan,set_tempo,11,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,11,0,conductor,,,,,,,,,,,,,748129.0,,,,,,,
Pakistan,set_tempo,618,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,33,0,conductor,,,,,,,,,,,,,743770.0,,,,,,,
Pakistan,set_tempo,10,0,conductor,,,,,,,,,,,,,741656.0,,,,,,,
Pakistan,set_tempo,11,0,conductor,,,,,,,,,,,,,739462.0,,,,,,,
Pakistan,set_tempo,475,0,conductor,,,,,,,,,,,,,741656.0,,,,,,,
Pakistan,set_tempo,118,0,conductor,,,,,,,,,,,,,743770.0,,,,,,,
Pakistan,set_tempo,64,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,64,0,conductor,,,,,,,,,,,,,748129.0,,,,,,,
Pakistan,set_tempo,22,0,conductor,,,,,,,,,,,,,750375.0,,,,,,,
Pakistan,set_tempo,99,0,conductor,,,,,,,,,,,,,752539.0,,,,,,,
Pakistan,set_tempo,49,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Pakistan,set_tempo,117,0,conductor,,,,,,,,,,,,,757002.0,,,,,,,
Pakistan,set_tempo,885,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Pakistan,set_tempo,317,0,conductor,,,,,,,,,,,,,757002.0,,,,,,,
Pakistan,set_tempo,63,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Pakistan,set_tempo,63,0,conductor,,,,,,,,,,,,,761517.0,,,,,,,
Pakistan,set_tempo,94,0,conductor,,,,,,,,,,,,,763747.0,,,,,,,
Pakistan,set_tempo,293,0,conductor,,,,,,,,,,,,,761517.0,,,,,,,
Pakistan,set_tempo,21,0,conductor,,,,,,,,,,,,,757002.0,,,,,,,
Pakistan,set_tempo,10,0,conductor,,,,,,,,,,,,,752539.0,,,,,,,
Pakistan,set_tempo,95,0,conductor,,,,,,,,,,,,,750375.0,,,,,,,
Pakistan,set_tempo,75,0,conductor,,,,,,,,,,,,,748129.0,,,,,,,
Pakistan,set_tempo,288,0,conductor,,,,,,,,,,,,,750375.0,,,,,,,
Pakistan,set_tempo,96,0,conductor,,,,,,,,,,,,,752539.0,,,,,,,
Pakistan,set_tempo,53,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Pakistan,set_tempo,74,0,conductor,,,,,,,,,,,,,757002.0,,,,,,,
Pakistan,set_tempo,63,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Pakistan,set_tempo,94,0,conductor,,,,,,,,,,,,,761517.0,,,,,,,
Pakistan,set_tempo,105,0,conductor,,,,,,,,,,,,,763747.0,,,,,,,
Pakistan,set_tempo,261,0,conductor,,,,,,,,,,,,,761517.0,,,,,,,
Pakistan,set_tempo,21,0,conductor,,,,,,,,,,,,,759205.0,,,,,,,
Pakistan,set_tempo,32,0,conductor,,,,,,,,,,,,,757002.0,,,,,,,
Pakistan,set_tempo,10,0,conductor,,,,,,,,,,,,,754716.0,,,,,,,
Pakistan,set_tempo,159,0,conductor,,,,,,,,,,,,,752539.0,,,,,,,
Pakistan,set_tempo,63,0,conductor,,,,,,,,,,,,,750375.0,,,,,,,
Pakistan,set_tempo,54,0,conductor,,,,,,,,,,,,,748129.0,,,,,,,
Pakistan,set_tempo,138,0,conductor,,,,,,,,,,,,,745990.0,,,,,,,
Pakistan,set_tempo,471,0,conductor,,,,,,,,,,,,,743770.0,,,,,,,
Pakistan,set_tempo,546,0,conductor,,,,,,,,,,,,,741656.0,,,,,,,
Pakistan,set_tempo,151,0,conductor,,,,,,,,,,,,,739462.0,,,,,,,
Pakistan,set_tempo,108,0,conductor,,,,,,,,,,,,,737372.0,,,,,,,
Pakistan,set_tempo,249,0,conductor,,,,,,,,,,,,,735294.0,,,,,,,
