Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Panama,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Panama,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Panama,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Panama,set_tempo,0,0,conductor,,,,,,,,,,,,,512820.0,,,,,,,
Panama,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,Country: PANAMA,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name: Himno Istmeno,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,revised 11-26-91,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-7-91,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE: 9-13-91,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Panama,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Panama,set_tempo,33024,0,conductor,,,,,,,,,,,,,600000.0,,,,,,,
Panama,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Panama,midi_port,0,1,Melody              ,,,,,,,0.0,,,,,,,,,,,,,
Panama,track_name,0,1,Melody              ,,,,,,,,,,,,,,,,,,,,
Panama,program_change,0,1,Melody              ,0.0,,,,,,,,,,60.0,,,,,,,,,
Panama,control_change,0,1,Melody              ,,7.0,80.0,,,,,,,,,,,,,,,,,
Panama,note_on,3648,1,Melody              ,0.0,,,,,,,57.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,57.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,57.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,57.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,69.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,62.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,69.0,127.0,,,,,,,,,,,
Panama,note_off,368,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,112,1,Melody              ,0.0,,,,,,,69.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,69.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,74.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,62.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,64.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,64.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,64.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,64.0,64.0,,,,,,,,,,,
Panama,note_on,400,1,Melody              ,0.0,,,,,,,57.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,57.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,57.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,57.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,69.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,71.0,127.0,,,,,,,,,,,
Panama,note_off,368,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,74.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,74.0,64.0,,,,,,,,,,,
Panama,note_on,112,1,Melody              ,0.0,,,,,,,62.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,64.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,64.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,69.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,69.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,73.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,73.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,71.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,71.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,61.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,61.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,64.0,127.0,,,,,,,,,,,
Panama,note_off,368,1,Melody              ,0.0,,,,,,,64.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,62.0,127.0,,,,,,,,,,,
Panama,note_off,80,1,Melody              ,0.0,,,,,,,62.0,64.0,,,,,,,,,,,
Panama,note_on,112,1,Melody              ,0.0,,,,,,,57.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,57.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,57.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,57.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,32,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,66.0,127.0,,,,,,,,,,,
Panama,note_off,176,1,Melody              ,0.0,,,,,,,66.0,64.0,,,,,,,,,,,
Panama,note_on,16,1,Melody              ,0.0,,,,,,,67.0,127.0,,,,,,,,,,,
Panama,note_off,128,1,Melody              ,0.0,,,,,,,67.0,64.0,,,,,,,,,,,
