Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Swaziland,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Swaziland,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[29.97, 0, 0, 0, 0, 0]",,,,,,
Swaziland,set_tempo,0,0,conductor,,,,,,,,,,,,,766675.0,,,,,,,
Swaziland,time_signature,0,0,conductor,,,,,,,,,,,,,,,,3.0,4.0,24.0,8.0,
Swaziland,set_tempo,1012,0,conductor,,,,,,,,,,,,,773594.0,,,,,,,
Swaziland,set_tempo,154,0,conductor,,,,,,,,,,,,,771307.0,,,,,,,
Swaziland,set_tempo,42,0,conductor,,,,,,,,,,,,,768935.0,,,,,,,
Swaziland,set_tempo,165,0,conductor,,,,,,,,,,,,,766675.0,,,,,,,
Swaziland,set_tempo,32,0,conductor,,,,,,,,,,,,,764331.0,,,,,,,
Swaziland,time_signature,35,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Swaziland,set_tempo,69,0,conductor,,,,,,,,,,,,,762098.0,,,,,,,
Swaziland,set_tempo,178,0,conductor,,,,,,,,,,,,,759878.0,,,,,,,
Swaziland,set_tempo,231,0,conductor,,,,,,,,,,,,,757575.0,,,,,,,
Swaziland,set_tempo,347,0,conductor,,,,,,,,,,,,,755382.0,,,,,,,
Swaziland,set_tempo,2091,0,conductor,,,,,,,,,,,,,757575.0,,,,,,,
Swaziland,set_tempo,590,0,conductor,,,,,,,,,,,,,759878.0,,,,,,,
Swaziland,set_tempo,105,0,conductor,,,,,,,,,,,,,757575.0,,,,,,,
Swaziland,set_tempo,200,0,conductor,,,,,,,,,,,,,755382.0,,,,,,,
Swaziland,set_tempo,95,0,conductor,,,,,,,,,,,,,753106.0,,,,,,,
Swaziland,set_tempo,222,0,conductor,,,,,,,,,,,,,750938.0,,,,,,,
Swaziland,set_tempo,404,0,conductor,,,,,,,,,,,,,753106.0,,,,,,,
Swaziland,set_tempo,43,0,conductor,,,,,,,,,,,,,750938.0,,,,,,,
Swaziland,set_tempo,276,0,conductor,,,,,,,,,,,,,748689.0,,,,,,,
Swaziland,set_tempo,234,0,conductor,,,,,,,,,,,,,746547.0,,,,,,,
Swaziland,set_tempo,278,0,conductor,,,,,,,,,,,,,744416.0,,,,,,,
Swaziland,set_tempo,386,0,conductor,,,,,,,,,,,,,746547.0,,,,,,,
Swaziland,set_tempo,85,0,conductor,,,,,,,,,,,,,744416.0,,,,,,,
Swaziland,set_tempo,2475,0,conductor,,,,,,,,,,,,,742206.0,,,,,,,
Swaziland,set_tempo,635,0,conductor,,,,,,,,,,,,,740101.0,,,,,,,
Swaziland,set_tempo,819,0,conductor,,,,,,,,,,,,,737916.0,,,,,,,
Swaziland,set_tempo,583,0,conductor,,,,,,,,,,,,,735835.0,,,,,,,
Swaziland,set_tempo,1345,0,conductor,,,,,,,,,,,,,733675.0,,,,,,,
Swaziland,set_tempo,315,0,conductor,,,,,,,,,,,,,731618.0,,,,,,,
Swaziland,set_tempo,185,0,conductor,,,,,,,,,,,,,729483.0,,,,,,,
Swaziland,set_tempo,252,0,conductor,,,,,,,,,,,,,727449.0,,,,,,,
Swaziland,set_tempo,833,0,conductor,,,,,,,,,,,,,725426.0,,,,,,,
Swaziland,set_tempo,1045,0,conductor,,,,,,,,,,,,,723327.0,,,,,,,
Swaziland,set_tempo,4543,0,conductor,,,,,,,,,,,,,721327.0,,,,,,,
Swaziland,set_tempo,1084,0,conductor,,,,,,,,,,,,,719251.0,,,,,,,
Swaziland,set_tempo,4036,0,conductor,,,,,,,,,,,,,717274.0,,,,,,,
Swaziland,set_tempo,56,0,conductor,,,,,,,,,,,,,715222.0,,,,,,,
Swaziland,set_tempo,2844,0,conductor,,,,,,,,,,,,,717274.0,,,,,,,
Swaziland,set_tempo,44,0,conductor,,,,,,,,,,,,,719251.0,,,,,,,
Swaziland,set_tempo,1032,0,conductor,,,,,,,,,,,,,717274.0,,,,,,,
Swaziland,set_tempo,222,0,conductor,,,,,,,,,,,,,715222.0,,,,,,,
Swaziland,set_tempo,1238,0,conductor,,,,,,,,,,,,,717274.0,,,,,,,
