Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Sweden,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Sweden,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[25, 32, 0, 0, 0, 0]",,,,,,
Sweden,set_tempo,0,0,conductor,,,,,,,,,,,,,926426.0,,,,,,,
Sweden,time_signature,0,0,conductor,,,,,,,,,,,,,,,,1.0,8.0,12.0,8.0,
Sweden,time_signature,240,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,12.0,8.0,
Sweden,set_tempo,1203,0,conductor,,,,,,,,,,,,,928792.0,,,,,,,
Sweden,set_tempo,103,0,conductor,,,,,,,,,,,,,931170.0,,,,,,,
Sweden,set_tempo,446,0,conductor,,,,,,,,,,,,,933561.0,,,,,,,
Sweden,set_tempo,8,0,conductor,,,,,,,,,,,,,931170.0,,,,,,,
Sweden,set_tempo,428,0,conductor,,,,,,,,,,,,,928792.0,,,,,,,
Sweden,set_tempo,301,0,conductor,,,,,,,,,,,,,926426.0,,,,,,,
Sweden,set_tempo,198,0,conductor,,,,,,,,,,,,,924143.0,,,,,,,
Sweden,set_tempo,138,0,conductor,,,,,,,,,,,,,921800.0,,,,,,,
Sweden,set_tempo,52,0,conductor,,,,,,,,,,,,,919469.0,,,,,,,
Sweden,set_tempo,61,0,conductor,,,,,,,,,,,,,917150.0,,,,,,,
Sweden,set_tempo,121,0,conductor,,,,,,,,,,,,,914843.0,,,,,,,
Sweden,set_tempo,62,0,conductor,,,,,,,,,,,,,912547.0,,,,,,,
Sweden,set_tempo,52,0,conductor,,,,,,,,,,,,,910332.0,,,,,,,
Sweden,set_tempo,175,0,conductor,,,,,,,,,,,,,908059.0,,,,,,,
Sweden,set_tempo,88,0,conductor,,,,,,,,,,,,,905797.0,,,,,,,
Sweden,set_tempo,159,0,conductor,,,,,,,,,,,,,903546.0,,,,,,,
Sweden,set_tempo,927,0,conductor,,,,,,,,,,,,,901306.0,,,,,,,
Sweden,set_tempo,354,0,conductor,,,,,,,,,,,,,903546.0,,,,,,,
Sweden,set_tempo,423,0,conductor,,,,,,,,,,,,,901306.0,,,,,,,
Sweden,set_tempo,257,0,conductor,,,,,,,,,,,,,903546.0,,,,,,,
Sweden,set_tempo,221,0,conductor,,,,,,,,,,,,,905797.0,,,,,,,
Sweden,set_tempo,440,0,conductor,,,,,,,,,,,,,908059.0,,,,,,,
Sweden,set_tempo,220,0,conductor,,,,,,,,,,,,,910332.0,,,,,,,
Sweden,set_tempo,78,0,conductor,,,,,,,,,,,,,912547.0,,,,,,,
Sweden,set_tempo,472,0,conductor,,,,,,,,,,,,,910332.0,,,,,,,
Sweden,set_tempo,62,0,conductor,,,,,,,,,,,,,908059.0,,,,,,,
Sweden,set_tempo,35,0,conductor,,,,,,,,,,,,,905797.0,,,,,,,
Sweden,set_tempo,44,0,conductor,,,,,,,,,,,,,903546.0,,,,,,,
Sweden,set_tempo,80,0,conductor,,,,,,,,,,,,,901306.0,,,,,,,
Sweden,set_tempo,79,0,conductor,,,,,,,,,,,,,899145.0,,,,,,,
