Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Switzerland,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Switzerland,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Switzerland,time_signature,0,0,conductor,,,,,,,,,,,,,,,,3.0,4.0,24.0,8.0,
Switzerland,set_tempo,0,0,conductor,,,,,,,,,,,,,1000000.0,,,,,,,
Switzerland,key_signature,0,0,conductor,,,,,Bb,,,,,,,,,,,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,Country: SWITZERLAND,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,revised 11-15-91,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,edit date:9-11-91,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE: 9-13-91,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Switzerland,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Switzerland,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Switzerland,midi_port,0,1,R.H.                ,,,,,,,0.0,,,,,,,,,,,,,
Switzerland,track_name,0,1,R.H.                ,,,,,,,,,,,,,,,,,,,,
Switzerland,program_change,0,1,R.H.                ,1.0,,,,,,,,,,17.0,,,,,,,,,
Switzerland,control_change,0,1,R.H.                ,,7.0,80.0,,,,,,,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,65.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,62.0,100.0,,,,,,,,,,,
Switzerland,note_off,128,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,62.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,65.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,62.0,100.0,,,,,,,,,,,
Switzerland,note_off,32,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,62.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,65.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,62.0,100.0,,,,,,,,,,,
Switzerland,note_off,176,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,62.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,70.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,62.0,100.0,,,,,,,,,,,
Switzerland,note_off,176,1,R.H.                ,1.0,,,,,,,70.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,62.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,63.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,70.0,100.0,,,,,,,,,,,
Switzerland,note_off,128,1,R.H.                ,1.0,,,,,,,63.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,70.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
Switzerland,note_off,32,1,R.H.                ,1.0,,,,,,,69.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,63.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
Switzerland,note_off,272,1,R.H.                ,1.0,,,,,,,63.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,69.0,64.0,,,,,,,,,,,
Switzerland,note_on,112,1,R.H.                ,1.0,,,,,,,63.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,60.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,65.0,100.0,,,,,,,,,,,
Switzerland,note_off,128,1,R.H.                ,1.0,,,,,,,63.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,65.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,63.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,60.0,100.0,,,,,,,,,,,
Switzerland,note_off,32,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,63.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,65.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,63.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,60.0,100.0,,,,,,,,,,,
Switzerland,note_off,176,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,63.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,72.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,63.0,100.0,,,,,,,,,,,
Switzerland,note_off,176,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,63.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,63.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,72.0,100.0,,,,,,,,,,,
Switzerland,note_off,128,1,R.H.                ,1.0,,,,,,,63.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,70.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,62.0,100.0,,,,,,,,,,,
Switzerland,note_off,32,1,R.H.                ,1.0,,,,,,,70.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,62.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,70.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,62.0,100.0,,,,,,,,,,,
Switzerland,note_off,192,1,R.H.                ,1.0,,,,,,,70.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,62.0,64.0,,,,,,,,,,,
Switzerland,note_on,192,1,R.H.                ,1.0,,,,,,,74.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,70.0,100.0,,,,,,,,,,,
Switzerland,note_off,272,1,R.H.                ,1.0,,,,,,,74.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,70.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,74.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,70.0,100.0,,,,,,,,,,,
Switzerland,note_off,80,1,R.H.                ,1.0,,,,,,,74.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,70.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,72.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,65.0,100.0,,,,,,,,,,,
Switzerland,note_off,80,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,60.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,72.0,100.0,,,,,,,,,,,
Switzerland,note_off,80,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,72.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Switzerland,note_off,272,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,70.0,100.0,,,,,,,,,,,
Switzerland,note_off,80,1,R.H.                ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,70.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,60.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,65.0,100.0,,,,,,,,,,,
Switzerland,note_off,176,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,69.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,62.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,67.0,100.0,,,,,,,,,,,
Switzerland,note_off,368,1,R.H.                ,1.0,,,,,,,62.0,64.0,,,,,,,,,,,
Switzerland,note_off,0,1,R.H.                ,1.0,,,,,,,67.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,60.0,100.0,,,,,,,,,,,
Switzerland,note_on,0,1,R.H.                ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Switzerland,note_off,80,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Switzerland,note_on,16,1,R.H.                ,1.0,,,,,,,58.0,100.0,,,,,,,,,,,
Switzerland,note_off,80,1,R.H.                ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
