Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Syria,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Syria,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Syria,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Syria,set_tempo,0,0,conductor,,,,,,,,,,,,,512820.0,,,,,,,
Syria,key_signature,0,0,conductor,,,,,A,,,,,,,,,,,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,Country: SYRIA,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name:,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-11-91,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE: 9-13-91,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Syria,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Syria,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Syria,midi_port,0,1,RH                  ,,,,,,,0.0,,,,,,,,,,,,,
Syria,track_name,0,1,RH                  ,,,,,,,,,,,,,,,,,,,,
Syria,program_change,0,1,RH                  ,1.0,,,,,,,,,,17.0,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,control_change,0,1,RH                  ,,7.0,80.0,,,,,,,,,,,,,,,,,
Syria,note_off,176,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_off,128,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_off,32,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_off,176,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,56.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,62.0,100.0,,,,,,,,,,,
Syria,note_off,176,1,RH                  ,1.0,,,,,,,56.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,62.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,61.0,100.0,,,,,,,,,,,
Syria,note_off,176,1,RH                  ,1.0,,,,,,,69.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,61.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,61.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_off,176,1,RH                  ,1.0,,,,,,,69.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,61.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,61.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_off,176,1,RH                  ,1.0,,,,,,,69.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,61.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_off,128,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
Syria,note_off,32,1,RH                  ,1.0,,,,,,,69.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,73.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,64.0,100.0,,,,,,,,,,,
Syria,note_off,176,1,RH                  ,1.0,,,,,,,73.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,69.0,64.0,,,,,,,,,,,
Syria,note_off,0,1,RH                  ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Syria,note_on,16,1,RH                  ,1.0,,,,,,,73.0,100.0,,,,,,,,,,,
Syria,note_on,0,1,RH                  ,1.0,,,,,,,69.0,100.0,,,,,,,,,,,
