Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Turkey,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Turkey,sequencer_specific,0,0,conductor,,,,,,,,,,,,"(0, 0, 65)",,,,,,,,
Turkey,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Turkey,set_tempo,0,0,conductor,,,,,,,,,,,,,535714.0,,,,,,,
Turkey,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,THE SOFTWARE TOOLWORKS,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,WORLD ATLAS,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,MultiMedia Windows Version,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,Country: TURKEY,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,Anthem Name: Istiklal Marsi,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,(The March of Independence),,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,(p) (c) The Software Toolworks 1991,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,revised 11-14-91,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,revised 11-26-91 (adlib),,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,edit date: 9-14-91,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,MMWIN EDIT DATE: 9-14-91,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,This file provided by:,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,Rob Wallace Music,,,,,
Turkey,text,0,0,conductor,,,,,,,,,,,,,,,(602) 979-6201,,,,,
Turkey,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Turkey,midi_port,0,1,R.H.                ,,,,,,,0.0,,,,,,,,,,,,,
Turkey,track_name,0,1,R.H.                ,,,,,,,,,,,,,,,,,,,,
Turkey,program_change,0,1,R.H.                ,1.0,,,,,,,,,,3.0,,,,,,,,,
Turkey,control_change,0,1,R.H.                ,,7.0,80.0,,,,,,,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,67.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,60.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,64.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,72.0,115.0,,,,,,,,,,,
Turkey,note_off,272,1,R.H.                ,1.0,,,,,,,67.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Turkey,note_on,16,1,R.H.                ,1.0,,,,,,,60.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,72.0,115.0,,,,,,,,,,,
Turkey,note_off,32,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Turkey,note_on,16,1,R.H.                ,1.0,,,,,,,60.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,72.0,115.0,,,,,,,,,,,
Turkey,note_off,32,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Turkey,note_on,16,1,R.H.                ,1.0,,,,,,,72.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,60.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,68.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,65.0,115.0,,,,,,,,,,,
Turkey,note_off,272,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,68.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,65.0,64.0,,,,,,,,,,,
Turkey,note_on,16,1,R.H.                ,1.0,,,,,,,60.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,72.0,115.0,,,,,,,,,,,
Turkey,note_off,32,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Turkey,note_on,16,1,R.H.                ,1.0,,,,,,,60.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,72.0,115.0,,,,,,,,,,,
Turkey,note_off,32,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Turkey,note_on,16,1,R.H.                ,1.0,,,,,,,64.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,60.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,72.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,67.0,115.0,,,,,,,,,,,
Turkey,note_off,80,1,R.H.                ,1.0,,,,,,,64.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,60.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,72.0,64.0,,,,,,,,,,,
Turkey,note_off,0,1,R.H.                ,1.0,,,,,,,67.0,64.0,,,,,,,,,,,
Turkey,note_on,16,1,R.H.                ,1.0,,,,,,,72.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,67.0,115.0,,,,,,,,,,,
Turkey,note_on,0,1,R.H.                ,1.0,,,,,,,64.0,115.0,,,,,,,,,,,
