Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Uruguay,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Uruguay,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Uruguay,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Uruguay,set_tempo,0,0,conductor,,,,,,,,,,,,,566037.0,,,,,,,
Uruguay,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Uruguay,midi_port,0,1,exten synt,,,,,,,0.0,,,,,,,,,,,,,
Uruguay,track_name,0,1,exten synt,,,,,,,,,,,,,,,,,,,,
Uruguay,program_change,0,1,exten synt,2.0,,,,,,,,,,48.0,,,,,,,,,
Uruguay,control_change,0,1,exten synt,,7.0,100.0,,,,,,,,,,,,,,,,,
Uruguay,control_change,0,1,exten synt,,10.0,64.0,,,,,,,,,,,,,,,,,
Uruguay,program_change,379,1,exten synt,2.0,,,,,,,,,,57.0,,,,,,,,,
Uruguay,control_change,0,1,exten synt,,7.0,127.0,,,,,,,,,,,,,,,,,
Uruguay,control_change,0,1,exten synt,,10.0,40.0,,,,,,,,,,,,,,,,,
Uruguay,control_change,0,1,exten synt,,91.0,64.0,,,,,,,,,,,,,,,,,
Uruguay,control_change,0,1,exten synt,,93.0,105.0,,,,,,,,,,,,,,,,,
Uruguay,note_on,0,1,exten synt,2.0,,,,,,,34.0,94.0,,,,,,,,,,,
Uruguay,note_on,2,1,exten synt,2.0,,,,,,,46.0,102.0,,,,,,,,,,,
Uruguay,note_on,0,1,exten synt,2.0,,,,,,,77.0,91.0,,,,,,,,,,,
Uruguay,note_on,0,1,exten synt,2.0,,,,,,,82.0,93.0,,,,,,,,,,,
Uruguay,note_on,2,1,exten synt,2.0,,,,,,,74.0,92.0,,,,,,,,,,,
Uruguay,note_on,196,1,exten synt,2.0,,,,,,,82.0,0.0,,,,,,,,,,,
Uruguay,note_on,11,1,exten synt,2.0,,,,,,,77.0,0.0,,,,,,,,,,,
Uruguay,note_on,2,1,exten synt,2.0,,,,,,,74.0,0.0,,,,,,,,,,,
Uruguay,note_on,45,1,exten synt,2.0,,,,,,,34.0,0.0,,,,,,,,,,,
Uruguay,note_on,8,1,exten synt,2.0,,,,,,,46.0,0.0,,,,,,,,,,,
Uruguay,note_on,114,1,exten synt,2.0,,,,,,,70.0,99.0,,,,,,,,,,,
