Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Uzbekistan,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Uzbekistan,set_tempo,0,0,conductor,,,,,,,,,,,,,400000.0,,,,,,,
Uzbekistan,time_signature,0,0,conductor,,,,,,,,,,,,,,,,6.0,8.0,12.0,8.0,
Uzbekistan,key_signature,0,0,conductor,,,,,Eb,,,,,,,,,,,,,,,
Uzbekistan,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Uzbekistan,midi_port,0,1,,,,,,,,0.0,,,,,,,,,,,,,
Uzbekistan,channel_prefix,0,1,,0.0,,,,,,,,,,,,,,,,,,,
Uzbekistan,control_change,0,1,,,10.0,64.0,,,,,,,,,,,,,,,,,
Uzbekistan,program_change,0,1,,0.0,,,,,,,,,,19.0,,,,,,,,,
Uzbekistan,note_on,2106,1,,0.0,,,,,,,51.0,100.0,,,,,,,,,,,
Uzbekistan,note_on,0,1,,0.0,,,,,,,55.0,100.0,,,,,,,,,,,
Uzbekistan,note_on,27,1,,0.0,,,,,,,63.0,100.0,,,,,,,,,,,
Uzbekistan,note_off,560,1,,0.0,,,,,,,63.0,80.0,,,,,,,,,,,
Uzbekistan,note_on,13,1,,0.0,,,,,,,63.0,100.0,,,,,,,,,,,
Uzbekistan,note_off,120,1,,0.0,,,,,,,51.0,80.0,,,,,,,,,,,
Uzbekistan,note_off,27,1,,0.0,,,,,,,55.0,80.0,,,,,,,,,,,
Uzbekistan,note_off,26,1,,0.0,,,,,,,63.0,80.0,,,,,,,,,,,
Uzbekistan,note_on,1,1,,0.0,,,,,,,60.0,100.0,,,,,,,,,,,
Uzbekistan,note_on,13,1,,0.0,,,,,,,56.0,100.0,,,,,,,,,,,
