Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Venezuela,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Venezuela,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Venezuela,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Venezuela,set_tempo,0,0,conductor,,,,,,,,,,,,,652173.0,,,,,,,
Venezuela,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Venezuela,midi_port,0,1,exten synt,,,,,,,0.0,,,,,,,,,,,,,
Venezuela,track_name,0,1,exten synt,,,,,,,,,,,,,,,,,,,,
Venezuela,program_change,0,1,exten synt,2.0,,,,,,,,,,48.0,,,,,,,,,
Venezuela,control_change,0,1,exten synt,,7.0,100.0,,,,,,,,,,,,,,,,,
Venezuela,control_change,0,1,exten synt,,10.0,64.0,,,,,,,,,,,,,,,,,
Venezuela,program_change,384,1,exten synt,2.0,,,,,,,,,,57.0,,,,,,,,,
Venezuela,control_change,0,1,exten synt,,7.0,127.0,,,,,,,,,,,,,,,,,
Venezuela,control_change,0,1,exten synt,,10.0,40.0,,,,,,,,,,,,,,,,,
Venezuela,control_change,0,1,exten synt,,91.0,64.0,,,,,,,,,,,,,,,,,
Venezuela,control_change,0,1,exten synt,,93.0,105.0,,,,,,,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,33.0,102.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,45.0,103.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,64.0,74.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,69.0,76.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,73.0,84.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,76.0,106.0,,,,,,,,,,,
Venezuela,note_on,40,1,exten synt,2.0,,,,,,,45.0,0.0,,,,,,,,,,,
Venezuela,note_on,2,1,exten synt,2.0,,,,,,,33.0,0.0,,,,,,,,,,,
Venezuela,note_on,39,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,3,1,exten synt,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Venezuela,note_on,1,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Venezuela,note_on,19,1,exten synt,2.0,,,,,,,76.0,0.0,,,,,,,,,,,
Venezuela,note_on,88,1,exten synt,2.0,,,,,,,33.0,102.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,45.0,110.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,64.0,70.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,69.0,73.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,73.0,76.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,76.0,108.0,,,,,,,,,,,
Venezuela,note_on,43,1,exten synt,2.0,,,,,,,33.0,0.0,,,,,,,,,,,
Venezuela,note_on,3,1,exten synt,2.0,,,,,,,45.0,0.0,,,,,,,,,,,
Venezuela,note_on,44,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,9,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Venezuela,note_on,11,1,exten synt,2.0,,,,,,,76.0,0.0,,,,,,,,,,,
Venezuela,note_on,3,1,exten synt,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Venezuela,note_on,79,1,exten synt,2.0,,,,,,,35.0,99.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,47.0,112.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,64.0,71.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,68.0,69.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,74.0,77.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,76.0,106.0,,,,,,,,,,,
Venezuela,note_on,39,1,exten synt,2.0,,,,,,,47.0,0.0,,,,,,,,,,,
Venezuela,note_on,6,1,exten synt,2.0,,,,,,,35.0,0.0,,,,,,,,,,,
Venezuela,note_on,39,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,9,1,exten synt,2.0,,,,,,,74.0,0.0,,,,,,,,,,,
Venezuela,note_on,10,1,exten synt,2.0,,,,,,,68.0,0.0,,,,,,,,,,,
Venezuela,note_on,5,1,exten synt,2.0,,,,,,,76.0,0.0,,,,,,,,,,,
Venezuela,note_on,84,1,exten synt,2.0,,,,,,,35.0,98.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,47.0,112.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,64.0,70.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,68.0,64.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,74.0,78.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,76.0,106.0,,,,,,,,,,,
Venezuela,note_on,43,1,exten synt,2.0,,,,,,,47.0,0.0,,,,,,,,,,,
Venezuela,note_on,5,1,exten synt,2.0,,,,,,,35.0,0.0,,,,,,,,,,,
Venezuela,note_on,26,1,exten synt,2.0,,,,,,,74.0,0.0,,,,,,,,,,,
Venezuela,note_on,5,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,24,1,exten synt,2.0,,,,,,,68.0,0.0,,,,,,,,,,,
Venezuela,note_on,11,1,exten synt,2.0,,,,,,,76.0,0.0,,,,,,,,,,,
Venezuela,note_on,78,1,exten synt,2.0,,,,,,,37.0,94.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,49.0,113.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,64.0,67.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,69.0,66.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,73.0,70.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,76.0,99.0,,,,,,,,,,,
Venezuela,note_on,105,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,3,1,exten synt,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Venezuela,note_on,12,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Venezuela,note_on,72,1,exten synt,2.0,,,,,,,64.0,56.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,69.0,54.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,73.0,67.0,,,,,,,,,,,
Venezuela,note_on,81,1,exten synt,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Venezuela,note_on,6,1,exten synt,2.0,,,,,,,49.0,0.0,,,,,,,,,,,
Venezuela,note_on,15,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,12,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Venezuela,note_on,22,1,exten synt,2.0,,,,,,,37.0,0.0,,,,,,,,,,,
Venezuela,note_on,38,1,exten synt,2.0,,,,,,,76.0,0.0,,,,,,,,,,,
Venezuela,note_on,18,1,exten synt,2.0,,,,,,,33.0,101.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,45.0,108.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,64.0,72.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,69.0,61.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,73.0,100.0,,,,,,,,,,,
Venezuela,note_on,85,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,9,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Venezuela,note_on,39,1,exten synt,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Venezuela,note_on,59,1,exten synt,2.0,,,,,,,64.0,69.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,69.0,73.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,73.0,92.0,,,,,,,,,,,
Venezuela,note_on,76,1,exten synt,2.0,,,,,,,33.0,0.0,,,,,,,,,,,
Venezuela,note_on,10,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,7,1,exten synt,2.0,,,,,,,45.0,0.0,,,,,,,,,,,
Venezuela,note_on,28,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Venezuela,note_on,53,1,exten synt,2.0,,,,,,,73.0,0.0,,,,,,,,,,,
Venezuela,note_on,18,1,exten synt,2.0,,,,,,,38.0,97.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,50.0,103.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,62.0,70.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,66.0,61.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,71.0,69.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,74.0,95.0,,,,,,,,,,,
Venezuela,note_on,81,1,exten synt,2.0,,,,,,,62.0,0.0,,,,,,,,,,,
Venezuela,note_on,3,1,exten synt,2.0,,,,,,,71.0,0.0,,,,,,,,,,,
Venezuela,note_on,12,1,exten synt,2.0,,,,,,,66.0,0.0,,,,,,,,,,,
Venezuela,note_on,96,1,exten synt,2.0,,,,,,,62.0,63.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,66.0,54.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,71.0,71.0,,,,,,,,,,,
Venezuela,note_on,77,1,exten synt,2.0,,,,,,,71.0,0.0,,,,,,,,,,,
Venezuela,note_on,1,1,exten synt,2.0,,,,,,,62.0,0.0,,,,,,,,,,,
Venezuela,note_on,6,1,exten synt,2.0,,,,,,,38.0,0.0,,,,,,,,,,,
Venezuela,note_on,13,1,exten synt,2.0,,,,,,,50.0,0.0,,,,,,,,,,,
Venezuela,note_on,7,1,exten synt,2.0,,,,,,,66.0,0.0,,,,,,,,,,,
Venezuela,note_on,88,1,exten synt,2.0,,,,,,,38.0,103.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,50.0,110.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,62.0,65.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,66.0,63.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,71.0,98.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,74.0,0.0,,,,,,,,,,,
Venezuela,note_on,73,1,exten synt,2.0,,,,,,,62.0,0.0,,,,,,,,,,,
Venezuela,note_on,29,1,exten synt,2.0,,,,,,,66.0,0.0,,,,,,,,,,,
Venezuela,note_on,50,1,exten synt,2.0,,,,,,,71.0,0.0,,,,,,,,,,,
Venezuela,note_on,40,1,exten synt,2.0,,,,,,,62.0,65.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,66.0,67.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,69.0,69.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,71.0,98.0,,,,,,,,,,,
Venezuela,note_on,74,1,exten synt,2.0,,,,,,,62.0,0.0,,,,,,,,,,,
Venezuela,note_on,2,1,exten synt,2.0,,,,,,,66.0,0.0,,,,,,,,,,,
Venezuela,note_on,1,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Venezuela,note_on,9,1,exten synt,2.0,,,,,,,38.0,0.0,,,,,,,,,,,
Venezuela,note_on,24,1,exten synt,2.0,,,,,,,50.0,0.0,,,,,,,,,,,
Venezuela,note_on,60,1,exten synt,2.0,,,,,,,71.0,0.0,,,,,,,,,,,
Venezuela,note_on,22,1,exten synt,2.0,,,,,,,40.0,102.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,52.0,110.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,59.0,62.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,64.0,79.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,68.0,74.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,71.0,91.0,,,,,,,,,,,
Venezuela,note_on,287,1,exten synt,2.0,,,,,,,40.0,0.0,,,,,,,,,,,
Venezuela,note_on,10,1,exten synt,2.0,,,,,,,52.0,0.0,,,,,,,,,,,
Venezuela,note_on,87,1,exten synt,2.0,,,,,,,40.0,96.0,,,,,,,,,,,
Venezuela,note_on,0,1,exten synt,2.0,,,,,,,52.0,112.0,,,,,,,,,,,
Venezuela,note_on,2,1,exten synt,2.0,,,,,,,59.0,0.0,,,,,,,,,,,
Venezuela,note_on,20,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Venezuela,note_on,26,1,exten synt,2.0,,,,,,,71.0,0.0,,,,,,,,,,,
Venezuela,note_on,7,1,exten synt,2.0,,,,,,,68.0,0.0,,,,,,,,,,,
Venezuela,note_on,5,1,exten synt,2.0,,,,,,,52.0,0.0,,,,,,,,,,,
