Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Vietnam,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Vietnam,smpte_offset,0,0,conductor,,,,,,,,,,,,,,"[25, 32, 0, 0, 0, 0]",,,,,,
Vietnam,set_tempo,0,0,conductor,,,,,,,,,,,,,806776.0,,,,,,,
Vietnam,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Vietnam,set_tempo,815,0,conductor,,,,,,,,,,,,,806776.0,,,,,,,
Vietnam,set_tempo,149,0,conductor,,,,,,,,,,,,,804397.0,,,,,,,
Vietnam,set_tempo,89,0,conductor,,,,,,,,,,,,,802031.0,,,,,,,
Vietnam,set_tempo,129,0,conductor,,,,,,,,,,,,,799680.0,,,,,,,
Vietnam,set_tempo,70,0,conductor,,,,,,,,,,,,,797342.0,,,,,,,
Vietnam,set_tempo,40,0,conductor,,,,,,,,,,,,,795123.0,,,,,,,
Vietnam,set_tempo,70,0,conductor,,,,,,,,,,,,,792811.0,,,,,,,
Vietnam,set_tempo,141,0,conductor,,,,,,,,,,,,,790513.0,,,,,,,
Vietnam,set_tempo,192,0,conductor,,,,,,,,,,,,,788229.0,,,,,,,
Vietnam,set_tempo,253,0,conductor,,,,,,,,,,,,,785957.0,,,,,,,
Vietnam,set_tempo,436,0,conductor,,,,,,,,,,,,,783699.0,,,,,,,
Vietnam,set_tempo,356,0,conductor,,,,,,,,,,,,,781453.0,,,,,,,
Vietnam,set_tempo,276,0,conductor,,,,,,,,,,,,,779220.0,,,,,,,
Vietnam,set_tempo,307,0,conductor,,,,,,,,,,,,,777101.0,,,,,,,
Vietnam,set_tempo,462,0,conductor,,,,,,,,,,,,,774893.0,,,,,,,
Vietnam,set_tempo,93,0,conductor,,,,,,,,,,,,,772698.0,,,,,,,
Vietnam,set_tempo,51,0,conductor,,,,,,,,,,,,,770514.0,,,,,,,
Vietnam,set_tempo,56,0,conductor,,,,,,,,,,,,,768344.0,,,,,,,
Vietnam,set_tempo,58,0,conductor,,,,,,,,,,,,,766185.0,,,,,,,
Vietnam,set_tempo,375,0,conductor,,,,,,,,,,,,,764039.0,,,,,,,
Vietnam,set_tempo,125,0,conductor,,,,,,,,,,,,,761904.0,,,,,,,
Vietnam,set_tempo,168,0,conductor,,,,,,,,,,,,,759878.0,,,,,,,
