Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Yugoslavia,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Yugoslavia,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Yugoslavia,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Yugoslavia,set_tempo,0,0,conductor,,,,,,,,,,,,,666666.0,,,,,,,
Yugoslavia,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Yugoslavia,midi_port,0,1,exten synt,,,,,,,0.0,,,,,,,,,,,,,
Yugoslavia,track_name,0,1,exten synt,,,,,,,,,,,,,,,,,,,,
Yugoslavia,program_change,0,1,exten synt,2.0,,,,,,,,,,48.0,,,,,,,,,
Yugoslavia,control_change,0,1,exten synt,,7.0,100.0,,,,,,,,,,,,,,,,,
Yugoslavia,control_change,0,1,exten synt,,10.0,64.0,,,,,,,,,,,,,,,,,
Yugoslavia,program_change,384,1,exten synt,2.0,,,,,,,,,,57.0,,,,,,,,,
Yugoslavia,control_change,0,1,exten synt,,7.0,127.0,,,,,,,,,,,,,,,,,
Yugoslavia,control_change,0,1,exten synt,,10.0,40.0,,,,,,,,,,,,,,,,,
Yugoslavia,control_change,0,1,exten synt,,91.0,64.0,,,,,,,,,,,,,,,,,
Yugoslavia,control_change,0,1,exten synt,,93.0,105.0,,,,,,,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,41.0,72.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,53.0,83.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,65.0,87.0,,,,,,,,,,,
Yugoslavia,note_on,192,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,96,1,exten synt,2.0,,,,,,,65.0,78.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,69.0,89.0,,,,,,,,,,,
Yugoslavia,note_on,60,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,36,1,exten synt,2.0,,,,,,,65.0,75.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,69.0,76.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,72.0,81.0,,,,,,,,,,,
Yugoslavia,note_on,242,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,19,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,3,1,exten synt,2.0,,,,,,,72.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,120,1,exten synt,2.0,,,,,,,65.0,67.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,69.0,80.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,72.0,83.0,,,,,,,,,,,
Yugoslavia,note_on,258,1,exten synt,2.0,,,,,,,41.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,15,1,exten synt,2.0,,,,,,,53.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,46,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,21,1,exten synt,2.0,,,,,,,72.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,1,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,43,1,exten synt,2.0,,,,,,,41.0,83.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,53.0,91.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,65.0,59.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,69.0,84.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,72.0,89.0,,,,,,,,,,,
Yugoslavia,note_on,123,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,4,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,43,1,exten synt,2.0,,,,,,,72.0,0.0,,,,,,,,,,,
Yugoslavia,note_on,22,1,exten synt,2.0,,,,,,,64.0,59.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,69.0,74.0,,,,,,,,,,,
Yugoslavia,note_on,0,1,exten synt,2.0,,,,,,,72.0,79.0,,,,,,,,,,,
Yugoslavia,note_on,109,1,exten synt,2.0,,,,,,,41.0,0.0,,,,,,,,,,,
