Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
Zaire,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
Zaire,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
Zaire,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
Zaire,set_tempo,0,0,conductor,,,,,,,,,,,,,600000.0,,,,,,,
Zaire,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
Zaire,midi_port,0,1,exten synt,,,,,,,0.0,,,,,,,,,,,,,
Zaire,track_name,0,1,exten synt,,,,,,,,,,,,,,,,,,,,
Zaire,program_change,0,1,exten synt,2.0,,,,,,,,,,48.0,,,,,,,,,
Zaire,control_change,0,1,exten synt,,7.0,100.0,,,,,,,,,,,,,,,,,
Zaire,control_change,0,1,exten synt,,10.0,64.0,,,,,,,,,,,,,,,,,
Zaire,program_change,373,1,exten synt,2.0,,,,,,,,,,57.0,,,,,,,,,
Zaire,control_change,0,1,exten synt,,7.0,127.0,,,,,,,,,,,,,,,,,
Zaire,control_change,0,1,exten synt,,10.0,40.0,,,,,,,,,,,,,,,,,
Zaire,control_change,0,1,exten synt,,91.0,64.0,,,,,,,,,,,,,,,,,
Zaire,control_change,0,1,exten synt,,93.0,105.0,,,,,,,,,,,,,,,,,
Zaire,note_on,0,1,exten synt,2.0,,,,,,,60.0,88.0,,,,,,,,,,,
Zaire,note_on,182,1,exten synt,2.0,,,,,,,60.0,0.0,,,,,,,,,,,
Zaire,note_on,124,1,exten synt,2.0,,,,,,,64.0,88.0,,,,,,,,,,,
Zaire,note_on,48,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Zaire,note_on,37,1,exten synt,2.0,,,,,,,67.0,82.0,,,,,,,,,,,
Zaire,note_on,5,1,exten synt,2.0,,,,,,,64.0,65.0,,,,,,,,,,,
Zaire,note_on,4,1,exten synt,2.0,,,,,,,60.0,64.0,,,,,,,,,,,
Zaire,note_on,3,1,exten synt,2.0,,,,,,,48.0,87.0,,,,,,,,,,,
Zaire,note_on,11,1,exten synt,2.0,,,,,,,36.0,77.0,,,,,,,,,,,
Zaire,note_on,213,1,exten synt,2.0,,,,,,,48.0,0.0,,,,,,,,,,,
Zaire,note_on,29,1,exten synt,2.0,,,,,,,36.0,0.0,,,,,,,,,,,
Zaire,note_on,25,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Zaire,note_on,10,1,exten synt,2.0,,,,,,,60.0,0.0,,,,,,,,,,,
Zaire,note_on,22,1,exten synt,2.0,,,,,,,67.0,0.0,,,,,,,,,,,
Zaire,note_on,58,1,exten synt,2.0,,,,,,,48.0,88.0,,,,,,,,,,,
Zaire,note_on,6,1,exten synt,2.0,,,,,,,67.0,96.0,,,,,,,,,,,
Zaire,note_on,3,1,exten synt,2.0,,,,,,,36.0,76.0,,,,,,,,,,,
Zaire,note_on,2,1,exten synt,2.0,,,,,,,64.0,57.0,,,,,,,,,,,
Zaire,note_on,9,1,exten synt,2.0,,,,,,,60.0,60.0,,,,,,,,,,,
Zaire,note_on,142,1,exten synt,2.0,,,,,,,67.0,0.0,,,,,,,,,,,
Zaire,note_on,61,1,exten synt,2.0,,,,,,,48.0,0.0,,,,,,,,,,,
Zaire,note_on,14,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Zaire,note_on,15,1,exten synt,2.0,,,,,,,36.0,0.0,,,,,,,,,,,
Zaire,note_on,27,1,exten synt,2.0,,,,,,,60.0,0.0,,,,,,,,,,,
Zaire,note_on,25,1,exten synt,2.0,,,,,,,67.0,88.0,,,,,,,,,,,
Zaire,note_on,61,1,exten synt,2.0,,,,,,,67.0,0.0,,,,,,,,,,,
Zaire,note_on,23,1,exten synt,2.0,,,,,,,48.0,89.0,,,,,,,,,,,
Zaire,note_on,5,1,exten synt,2.0,,,,,,,64.0,92.0,,,,,,,,,,,
Zaire,note_on,0,1,exten synt,2.0,,,,,,,55.0,74.0,,,,,,,,,,,
Zaire,note_on,4,1,exten synt,2.0,,,,,,,36.0,80.0,,,,,,,,,,,
Zaire,note_on,201,1,exten synt,2.0,,,,,,,64.0,0.0,,,,,,,,,,,
Zaire,note_on,17,1,exten synt,2.0,,,,,,,48.0,0.0,,,,,,,,,,,
Zaire,note_on,13,1,exten synt,2.0,,,,,,,36.0,0.0,,,,,,,,,,,
Zaire,note_on,40,1,exten synt,2.0,,,,,,,60.0,94.0,,,,,,,,,,,
Zaire,note_on,49,1,exten synt,2.0,,,,,,,55.0,0.0,,,,,,,,,,,
Zaire,note_on,7,1,exten synt,2.0,,,,,,,60.0,0.0,,,,,,,,,,,
Zaire,note_on,32,1,exten synt,2.0,,,,,,,65.0,79.0,,,,,,,,,,,
Zaire,note_on,0,1,exten synt,2.0,,,,,,,53.0,85.0,,,,,,,,,,,
Zaire,note_on,1,1,exten synt,2.0,,,,,,,41.0,74.0,,,,,,,,,,,
Zaire,note_on,8,1,exten synt,2.0,,,,,,,57.0,63.0,,,,,,,,,,,
Zaire,note_on,223,1,exten synt,2.0,,,,,,,53.0,0.0,,,,,,,,,,,
Zaire,note_on,3,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
Zaire,note_on,12,1,exten synt,2.0,,,,,,,41.0,0.0,,,,,,,,,,,
Zaire,note_on,41,1,exten synt,2.0,,,,,,,69.0,80.0,,,,,,,,,,,
Zaire,note_on,5,1,exten synt,2.0,,,,,,,57.0,0.0,,,,,,,,,,,
Zaire,note_on,52,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
