Country,Message Type,Time,Track Number,Track Name,Channel,Control,Control Value,Instrument Name,Key Signature,Marker Text,Midi Port,Note,Velocity,Pitch,Program,Sequencer Data,Tempo,smpte_offset,Text,TS_numerator,TS_denominator,TS_clocks_per_click,TS_32nd_notes_per_beat,End of Track
prk001nm,track_name,0,0,conductor,,,,,,,,,,,,,,,,,,,,
prk001nm,time_signature,0,0,conductor,,,,,,,,,,,,,,,,4.0,4.0,24.0,8.0,
prk001nm,key_signature,0,0,conductor,,,,,C,,,,,,,,,,,,,,,
prk001nm,set_tempo,0,0,conductor,,,,,,,,,,,,,638297.0,,,,,,,
prk001nm,end_of_track,0,0,conductor,,,,,,,,,,,,,,,,,,,,True
prk001nm,midi_port,0,1,exten synt,,,,,,,0.0,,,,,,,,,,,,,
prk001nm,track_name,0,1,exten synt,,,,,,,,,,,,,,,,,,,,
prk001nm,program_change,0,1,exten synt,2.0,,,,,,,,,,48.0,,,,,,,,,
prk001nm,control_change,0,1,exten synt,,7.0,100.0,,,,,,,,,,,,,,,,,
prk001nm,control_change,0,1,exten synt,,10.0,64.0,,,,,,,,,,,,,,,,,
prk001nm,program_change,395,1,exten synt,2.0,,,,,,,,,,57.0,,,,,,,,,
prk001nm,control_change,0,1,exten synt,,7.0,127.0,,,,,,,,,,,,,,,,,
prk001nm,control_change,0,1,exten synt,,10.0,40.0,,,,,,,,,,,,,,,,,
prk001nm,control_change,0,1,exten synt,,91.0,64.0,,,,,,,,,,,,,,,,,
prk001nm,control_change,0,1,exten synt,,93.0,105.0,,,,,,,,,,,,,,,,,
prk001nm,note_on,0,1,exten synt,2.0,,,,,,,65.0,69.0,,,,,,,,,,,
prk001nm,note_on,9,1,exten synt,2.0,,,,,,,53.0,71.0,,,,,,,,,,,
prk001nm,note_on,3,1,exten synt,2.0,,,,,,,41.0,58.0,,,,,,,,,,,
prk001nm,note_on,344,1,exten synt,2.0,,,,,,,70.0,67.0,,,,,,,,,,,
prk001nm,note_on,17,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
prk001nm,note_on,12,1,exten synt,2.0,,,,,,,65.0,69.0,,,,,,,,,,,
prk001nm,note_on,4,1,exten synt,2.0,,,,,,,62.0,63.0,,,,,,,,,,,
prk001nm,note_on,2,1,exten synt,2.0,,,,,,,46.0,57.0,,,,,,,,,,,
prk001nm,note_on,6,1,exten synt,2.0,,,,,,,41.0,0.0,,,,,,,,,,,
prk001nm,note_on,3,1,exten synt,2.0,,,,,,,53.0,0.0,,,,,,,,,,,
prk001nm,note_on,1,1,exten synt,2.0,,,,,,,34.0,56.0,,,,,,,,,,,
prk001nm,note_on,464,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
prk001nm,note_on,61,1,exten synt,2.0,,,,,,,70.0,69.0,,,,,,,,,,,
prk001nm,note_on,116,1,exten synt,2.0,,,,,,,62.0,0.0,,,,,,,,,,,
prk001nm,note_on,18,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
prk001nm,note_on,21,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
prk001nm,note_on,35,1,exten synt,2.0,,,,,,,65.0,69.0,,,,,,,,,,,
prk001nm,note_on,2,1,exten synt,2.0,,,,,,,62.0,63.0,,,,,,,,,,,
prk001nm,note_on,3,1,exten synt,2.0,,,,,,,70.0,69.0,,,,,,,,,,,
prk001nm,note_on,183,1,exten synt,2.0,,,,,,,67.0,71.0,,,,,,,,,,,
prk001nm,note_on,16,1,exten synt,2.0,,,,,,,65.0,0.0,,,,,,,,,,,
prk001nm,note_on,127,1,exten synt,2.0,,,,,,,34.0,0.0,,,,,,,,,,,
prk001nm,note_on,2,1,exten synt,2.0,,,,,,,62.0,0.0,,,,,,,,,,,
prk001nm,note_on,13,1,exten synt,2.0,,,,,,,46.0,0.0,,,,,,,,,,,
prk001nm,note_on,27,1,exten synt,2.0,,,,,,,67.0,0.0,,,,,,,,,,,
prk001nm,note_on,4,1,exten synt,2.0,,,,,,,48.0,78.0,,,,,,,,,,,
prk001nm,note_on,0,1,exten synt,2.0,,,,,,,70.0,0.0,,,,,,,,,,,
prk001nm,note_on,7,1,exten synt,2.0,,,,,,,36.0,62.0,,,,,,,,,,,
prk001nm,note_on,5,1,exten synt,2.0,,,,,,,63.0,72.0,,,,,,,,,,,
prk001nm,note_on,0,1,exten synt,2.0,,,,,,,69.0,74.0,,,,,,,,,,,
prk001nm,note_on,10,1,exten synt,2.0,,,,,,,57.0,58.0,,,,,,,,,,,
prk001nm,note_on,164,1,exten synt,2.0,,,,,,,37.0,64.0,,,,,,,,,,,
prk001nm,note_on,2,1,exten synt,2.0,,,,,,,36.0,0.0,,,,,,,,,,,
prk001nm,note_on,9,1,exten synt,2.0,,,,,,,49.0,74.0,,,,,,,,,,,
prk001nm,note_on,0,1,exten synt,2.0,,,,,,,48.0,0.0,,,,,,,,,,,
prk001nm,note_on,7,1,exten synt,2.0,,,,,,,67.0,73.0,,,,,,,,,,,
prk001nm,note_on,26,1,exten synt,2.0,,,,,,,69.0,0.0,,,,,,,,,,,
prk001nm,note_on,82,1,exten synt,2.0,,,,,,,57.0,0.0,,,,,,,,,,,
prk001nm,note_on,78,1,exten synt,2.0,,,,,,,63.0,0.0,,,,,,,,,,,
prk001nm,note_on,2,1,exten synt,2.0,,,,,,,37.0,0.0,,,,,,,,,,,
prk001nm,note_on,0,1,exten synt,2.0,,,,,,,49.0,0.0,,,,,,,,,,,
prk001nm,note_on,3,1,exten synt,2.0,,,,,,,62.0,75.0,,,,,,,,,,,
prk001nm,note_on,7,1,exten synt,2.0,,,,,,,65.0,62.0,,,,,,,,,,,
prk001nm,note_on,2,1,exten synt,2.0,,,,,,,38.0,65.0,,,,,,,,,,,
prk001nm,note_on,0,1,exten synt,2.0,,,,,,,57.0,65.0,,,,,,,,,,,
prk001nm,note_on,6,1,exten synt,2.0,,,,,,,67.0,0.0,,,,,,,,,,,
prk001nm,note_on,1,1,exten synt,2.0,,,,,,,50.0,71.0,,,,,,,,,,,
prk001nm,note_on,523,1,exten synt,2.0,,,,,,,63.0,53.0,,,,,,,,,,,
